Year,REF_REGION,Area,REF_AREA,Country,Level,Measure,Value
2003,CHE,Suisse,CHE,Suisse,CTRY,FERT_RATIO,1.39
2003,EST,Estonie,EST,Estonie,CTRY,FERT_RATIO,1.37
2003,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.8
2003,FRA,France,FRA,France,CTRY,FERT_RATIO,1.89
2004,FRA,France,FRA,France,CTRY,FERT_RATIO,1.92
2004,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.83
2004,EST,Estonie,EST,Estonie,CTRY,FERT_RATIO,1.47
2004,CHE,Suisse,CHE,Suisse,CTRY,FERT_RATIO,1.42
2004,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,FERT_RATIO,1.48
2004,PRT,Portugal,PRT,Portugal,CTRY,FERT_RATIO,1.4
2004,IRL,Irlande,IRL,Irlande,CTRY,FERT_RATIO,1.93
2004,POL,Pologne,POL,Pologne,CTRY,FERT_RATIO,1.23
2004,FIN,Finlande,FIN,Finlande,CTRY,FERT_RATIO,1.8
2004,GRC,Grèce,GRC,Grèce,CTRY,FERT_RATIO,1.31
2004,SWE,Suède,SWE,Suède,CTRY,FERT_RATIO,1.75
2004,DEU,Allemagne,DEU,Allemagne,CTRY,FERT_RATIO,1.36
2004,DNK,Danemark,DNK,Danemark,CTRY,FERT_RATIO,1.78
2004,LTU,Lituanie,LTU,Lituanie,CTRY,FERT_RATIO,1.27
2004,HUN,Hongrie,HUN,Hongrie,CTRY,FERT_RATIO,1.28
2004,ITA,Italie,ITA,Italie,CTRY,FERT_RATIO,1.34
2004,AUT,Autriche,AUT,Autriche,CTRY,FERT_RATIO,1.42
2004,ESP,Espagne,ESP,Espagne,CTRY,FERT_RATIO,1.31
2004,ISL,Islande,ISL,Islande,CTRY,FERT_RATIO,2.04
2004,SVK,République slovaque,SVK,République slovaque,CTRY,FERT_RATIO,1.25
2004,SVN,Slovénie,SVN,Slovénie,CTRY,FERT_RATIO,1.25
2004,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,FERT_RATIO,1.72
2004,LUX,Luxembourg,LUX,Luxembourg,CTRY,FERT_RATIO,1.66
2004,LVA,Lettonie,LVA,Lettonie,CTRY,FERT_RATIO,1.29
2004,BEL,Belgique,BEL,Belgique,CTRY,FERT_RATIO,1.72
2005,BEL,Belgique,BEL,Belgique,CTRY,FERT_RATIO,1.76
2005,LVA,Lettonie,LVA,Lettonie,CTRY,FERT_RATIO,1.39
2005,LUX,Luxembourg,LUX,Luxembourg,CTRY,FERT_RATIO,1.63
2005,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,FERT_RATIO,1.71
2005,SVN,Slovénie,SVN,Slovénie,CTRY,FERT_RATIO,1.26
2005,SVK,République slovaque,SVK,République slovaque,CTRY,FERT_RATIO,1.27
2005,ISL,Islande,ISL,Islande,CTRY,FERT_RATIO,2.05
2005,ESP,Espagne,ESP,Espagne,CTRY,FERT_RATIO,1.33
2005,AUT,Autriche,AUT,Autriche,CTRY,FERT_RATIO,1.41
2005,ITA,Italie,ITA,Italie,CTRY,FERT_RATIO,1.34
2005,HUN,Hongrie,HUN,Hongrie,CTRY,FERT_RATIO,1.31
2005,DNK,Danemark,DNK,Danemark,CTRY,FERT_RATIO,1.8
2005,LTU,Lituanie,LTU,Lituanie,CTRY,FERT_RATIO,1.29
2005,DEU,Allemagne,DEU,Allemagne,CTRY,FERT_RATIO,1.34
2005,SWE,Suède,SWE,Suède,CTRY,FERT_RATIO,1.77
2005,GRC,Grèce,GRC,Grèce,CTRY,FERT_RATIO,1.34
2005,FIN,Finlande,FIN,Finlande,CTRY,FERT_RATIO,1.8
2005,POL,Pologne,POL,Pologne,CTRY,FERT_RATIO,1.24
2005,IRL,Irlande,IRL,Irlande,CTRY,FERT_RATIO,1.86
2005,PRT,Portugal,PRT,Portugal,CTRY,FERT_RATIO,1.41
2005,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,FERT_RATIO,1.48
2005,CHE,Suisse,CHE,Suisse,CTRY,FERT_RATIO,1.42
2005,EST,Estonie,EST,Estonie,CTRY,FERT_RATIO,1.52
2005,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.84
2005,FRA,France,FRA,France,CTRY,FERT_RATIO,1.94
2006,FRA,France,FRA,France,CTRY,FERT_RATIO,2.0
2006,NOR,Norvège,NOR,Norvège,CTRY,FERT_RATIO,1.9
