Year,REF_REGION,Area,REF_AREA,Country,Level,Measure,Value
2007,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.697
2007,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,9.731
2007,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.638
2007,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,9.86
2007,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.129
2007,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.206
2007,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.488
2007,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,16.449
2007,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.724
2007,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,11.747
2007,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,9.921
2007,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,10.142
2007,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,10.846
2007,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.787
2007,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.967
2007,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.129
2007,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.32
2007,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.502
2007,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.821
2008,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,15.327
2008,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.567
2008,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.301
2008,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.67
2008,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,11.354
2008,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.903
2008,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,11.131
2008,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,10.695
2008,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.1
2008,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,11.975
2008,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.925
2008,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,16.863
2008,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.771
2008,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.359
2008,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.231
2008,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,10.853
2008,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.774
2008,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,9.911
2008,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.87
2008,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.877
2008,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.254
2008,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.845
2008,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,9.816
2008,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.932
2008,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,10.875
2009,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,10.95
2009,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.794
2009,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,10.103
2009,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.688
2009,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.217
2009,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.398
2009,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.614
2009,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,9.419
2009,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.573
2009,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,10.754
2009,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.346
2009,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.159
