Year,REF_AREA,gov_spending
2018,NOR,3.052
2019,NOR,3.157
2020,NOR,3.384
2021,NOR,2.78
2000,POL,1.173
2001,POL,1.177
2002,POL,1.17
2003,POL,1.12
2004,POL,1.225
2005,POL,1.205
2006,POL,1.186
2007,POL,1.154
2008,POL,1.242
2009,POL,1.285
2010,POL,1.339
2011,POL,1.291
2012,POL,1.344
2013,POL,1.424
2014,POL,1.398
2015,POL,1.508
2016,POL,2.537
2017,POL,2.606
2018,POL,2.47
2019,POL,2.992
2020,POL,3.72
2021,POL,3.329
2000,PRT,0.974
2001,PRT,1.009
2002,PRT,1.307
2003,PRT,1.41
2004,PRT,1.164
2005,PRT,1.182
2006,PRT,1.163
2007,PRT,1.153
2008,PRT,1.234
2009,PRT,1.446
2010,PRT,1.386
2011,PRT,1.206
2012,PRT,1.235
2013,PRT,1.237
2014,PRT,1.228
2015,PRT,1.201
2016,PRT,1.213
2017,PRT,1.208
2018,PRT,1.187
2019,PRT,1.208
2020,PRT,1.383
2021,PRT,1.317
2000,SVK,1.967
2001,SVK,1.816
2002,SVK,1.794
2003,SVK,1.775
2004,SVK,1.957
2005,SVK,1.519
2006,SVK,1.418
2007,SVK,1.352
2008,SVK,1.308
2009,SVK,1.566
2010,SVK,1.575
2011,SVK,1.627
2012,SVK,1.658
2013,SVK,1.685
2014,SVK,1.679
2015,SVK,1.615
2016,SVK,1.649
2017,SVK,1.695
2018,SVK,1.642
2019,SVK,1.781
2020,SVK,1.988
2021,SVK,2.08
2000,SVN,2.147
2001,SVN,2.106
2002,SVN,2.023
2003,SVN,1.977
2004,SVN,1.949
2005,SVN,1.925
2006,SVN,1.884
2007,SVN,1.71
2008,SVN,1.754
2009,SVN,2.075
2010,SVN,2.134
2011,SVN,2.146
2012,SVN,2.077
2013,SVN,1.95
2014,SVN,1.865
2015,SVN,1.798
2016,SVN,1.741
2017,SVN,1.861
2018,SVN,1.827
2019,SVN,1.827
2020,SVN,1.94
2021,SVN,1.87
2000,ESP,0.887
2001,ESP,0.849
2002,ESP,0.861
2003,ESP,1.01
2004,ESP,1.035
2005,ESP,1.111
2006,ESP,1.136
2007,ESP,1.185
2008,ESP,1.283
2009,ESP,1.432
2010,ESP,1.42
2011,ESP,1.335
2012,ESP,1.299
2013,ESP,1.306
2014,ESP,1.268
2015,ESP,1.227
2016,ESP,1.198
2017,ESP,1.215
2018,ESP,1.228
2019,ESP,1.281
2020,ESP,1.524
2021,ESP,1.482
2000,SWE,2.775
2001,SWE,2.908
2002,SWE,3.051
2003,SWE,3.114
2004,SWE,3.105
2005,SWE,3.133
2006,SWE,3.222
2007,SWE,3.183
2008,SWE,3.322
2009,SWE,3.499
2010,SWE,3.395
2011,SWE,3.393
2012,SWE,3.509
2013,SWE,3.56
2014,SWE,3.565
2015,SWE,3.48
2016,SWE,3.505
2017,SWE,3.494
2018,SWE,3.569
2019,SWE,3.512
2020,SWE,3.54
2021,SWE,3.32
2000,CHE,1.328
2001,CHE,1.348
2002,CHE,1.43
2003,CHE,1.433
2004,CHE,1.394
2005,CHE,1.407
2006,CHE,1.393
2007,CHE,1.337
2008,CHE,1.267
2009,CHE,1.381
2010,CHE,1.391
2011,CHE,1.38
2012,CHE,1.412
2013,CHE,1.423
2014,CHE,1.483
2015,CHE,1.628
2016,CHE,1.611
2017,CHE,1.624
2018,CHE,1.596
2019,CHE,1.642
2020,CHE,1.745
2021,CHE,1.675
2000,GBR,2.385
2001,GBR,2.473
2002,GBR,2.531
2003,GBR,2.794
2004,GBR,2.875
2005,GBR,2.838
2006,GBR,2.836
2007,GBR,3.111
2008,GBR,3.332
2009,GBR,3.681
2010,GBR,3.927
2011,GBR,3.848
2012,GBR,3.885
2013,GBR,3.654
2014,GBR,3.485
2015,GBR,3.439
2016,GBR,3.319
2017,GBR,3.218
2018,GBR,3.012
2019,GBR,2.435
2020,GBR,2.385
2021,GBR,2.027
