Year,REF_AREA,Country,Age,% Population,Value_population
1990,BGR,Bulgarie,20-,27.59,2405333.0
1991,BGR,Bulgarie,20-,27.2,2347593.0
1992,BGR,Bulgarie,20-,26.76,2285102.0
1993,BGR,Bulgarie,20-,26.35,2232051.0
1994,BGR,Bulgarie,20-,25.89,2186148.0
1995,BGR,Bulgarie,20-,25.33,2129524.0
1996,BGR,Bulgarie,20-,24.76,2070757.0
1997,BGR,Bulgarie,20-,24.17,2008959.0
1998,BGR,Bulgarie,20-,23.58,1946710.0
1999,BGR,Bulgarie,20-,23.03,1890814.0
2000,BGR,Bulgarie,20-,22.55,1842686.0
2001,BGR,Bulgarie,20-,21.99,1761402.0
2003,BGR,Bulgarie,20-,20.97,1630373.0
2020,BGR,Bulgarie,20-,18.95,1314242.0
2001,HRV,Croatie,20-,23.18,996569.0
2002,HRV,Croatie,20-,22.89,984712.0
2003,HRV,Croatie,20-,22.56,970694.0
2004,HRV,Croatie,20-,22.18,954804.0
2005,HRV,Croatie,20-,21.9,943869.0
2006,HRV,Croatie,20-,21.66,933996.0
2007,HRV,Croatie,20-,21.45,924389.0
2008,HRV,Croatie,20-,21.25,915901.0
2009,HRV,Croatie,20-,21.1,908594.0
2010,HRV,Croatie,20-,21.02,902894.0
2011,HRV,Croatie,20-,20.87,893195.0
2021,HRV,Croatie,20-,19.16,743138.0
1990,ROU,Roumanie,20-,31.64,7341829.0
1991,ROU,Roumanie,20-,31.26,7189731.0
1992,ROU,Roumanie,20-,30.91,7045067.0
1993,ROU,Roumanie,20-,30.46,6934278.0
1994,ROU,Roumanie,20-,29.87,6789803.0
1995,ROU,Roumanie,20-,29.15,6612848.0
1996,ROU,Roumanie,20-,28.44,6431767.0
1997,ROU,Roumanie,20-,27.72,6252360.0
1998,ROU,Roumanie,20-,27.02,6082290.0
1999,ROU,Roumanie,20-,26.35,5922440.0
2000,ROU,Roumanie,20-,25.7,5767063.0
2001,ROU,Roumanie,20-,25.26,5589821.0
2002,ROU,Roumanie,20-,25.15,5450700.0
2003,ROU,Roumanie,20-,25.1,5416137.0
2004,ROU,Roumanie,20-,25.06,5375600.0
2005,ROU,Roumanie,20-,24.47,5216132.0
2006,ROU,Roumanie,20-,23.87,5059223.0
2007,ROU,Roumanie,20-,23.26,4857289.0
2008,ROU,Roumanie,20-,22.03,4525277.0
2009,ROU,Roumanie,20-,21.38,4354809.0
2010,ROU,Roumanie,20-,21.35,4321924.0
2011,ROU,Roumanie,20-,21.33,4297708.0
2012,ROU,Roumanie,20-,21.23,4259085.0
2013,ROU,Roumanie,20-,21.06,4210061.0
2014,ROU,Roumanie,20-,20.98,4178730.0
2015,ROU,Roumanie,20-,20.99,4160101.0
2016,ROU,Roumanie,20-,21.02,4143137.0
2017,ROU,Roumanie,20-,21.05,4124121.0
2018,ROU,Roumanie,20-,21.06,4103481.0
1990,IRL,Irlande,20-,36.59,1282900.0
1991,IRL,Irlande,20-,36.18,1275500.0
1992,IRL,Irlande,20-,35.57,1264200.0
1993,IRL,Irlande,20-,34.9,1247500.0
1994,IRL,Irlande,20-,34.29,1229500.0
1995,IRL,Irlande,20-,33.69,1213200.0
1996,IRL,Irlande,20-,33.06,1198960.0
1997,IRL,Irlande,20-,32.47,1189729.0
1998,IRL,Irlande,20-,31.85,1179519.0
1999,IRL,Irlande,20-,31.25,1169102.0
2000,IRL,Irlande,20-,30.54,1157373.0
2001,IRL,Irlande,20-,29.84,1147962.0
2002,IRL,Irlande,20-,29.12,1140616.0
2003,IRL,Irlande,20-,28.63,1139379.0
2004,IRL,Irlande,20-,28.24,1142199.0
2005,IRL,Irlande,20-,27.73,1146244.0
2006,IRL,Irlande,20-,27.31,1155935.0
2007,IRL,Irlande,20-,26.87,1175629.0
2008,IRL,Irlande,20-,26.96,1208964.0
2009,IRL,Irlande,20-,27.15,1230657.0
2010,IRL,Irlande,20-,27.38,1247129.0
2011,IRL,Irlande,20-,27.49,1257756.0
2012,IRL,Irlande,20-,27.64,1269509.0
2013,IRL,Irlande,20-,27.7,1278294.0
2014,IRL,Irlande,20-,27.73,1288095.0
2015,IRL,Irlande,20-,27.69,1297838.0
2016,IRL,Irlande,20-,27.57,1306716.0
1990,FRA,France,20-,27.62,15662551.0
1991,FRA,France,20-,27.55,16097650.0
1992,FRA,France,20-,27.19,15962640.0
1993,FRA,France,20-,26.83,15818087.0
1994,FRA,France,20-,26.53,15697104.0
1995,FRA,France,20-,26.33,15638241.0
1996,FRA,France,20-,26.22,15626002.0
1997,FRA,France,20-,26.11,15612958.0
1998,FRA,France,20-,25.99,15597417.0
1999,FRA,France,20-,25.88,15610737.0
2000,FRA,France,20-,25.75,15638850.0
2001,FRA,France,20-,25.61,15665332.0
2002,FRA,France,20-,25.48,15694731.0
2003,FRA,France,20-,25.38,15746918.0
2004,FRA,France,20-,25.31,15816417.0
2005,FRA,France,20-,25.2,15868306.0
2006,FRA,France,20-,25.09,15906277.0
2007,FRA,France,20-,24.99,15936840.0
2008,FRA,France,20-,24.89,15963097.0
2009,FRA,France,20-,24.81,15993921.0
2010,FRA,France,20-,24.74,16024402.0
2011,FRA,France,20-,24.65,16042691.0
2012,FRA,France,20-,24.57,16071597.0
2013,FRA,France,20-,24.54,16134468.0
2014,FRA,France,20-,24.63,16326869.0
2015,FRA,France,20-,24.59,16355574.0
2016,FRA,France,20-,24.49,16334239.0
2017,FRA,France,20-,24.39,16314699.0
2018,FRA,France,20-,24.28,16299932.0
2019,FRA,France,20-,24.13,16250060.0
1990,CHE,Suisse,20-,23.46,1574840.0
1991,CHE,Suisse,20-,23.22,1578702.0
1992,CHE,Suisse,20-,23.23,1596877.0
1993,CHE,Suisse,20-,23.26,1613792.0
1994,CHE,Suisse,20-,23.27,1627507.0
1995,CHE,Suisse,20-,23.3,1640190.0
1996,CHE,Suisse,20-,23.33,1650072.0
1997,CHE,Suisse,20-,23.33,1653911.0
1998,CHE,Suisse,20-,23.29,1656136.0
1999,CHE,Suisse,20-,23.25,1660779.0
2000,CHE,Suisse,20-,23.16,1664151.0
2001,CHE,Suisse,20-,22.71,1641180.0
2002,CHE,Suisse,20-,22.55,1642757.0
2003,CHE,Suisse,20-,22.38,1642239.0
2004,CHE,Suisse,20-,22.2,1640299.0
2005,CHE,Suisse,20-,22.01,1636576.0
2006,CHE,Suisse,20-,21.81,1631963.0
2007,CHE,Suisse,20-,21.59,1630438.0
2008,CHE,Suisse,20-,21.36,1633207.0
2009,CHE,Suisse,20-,21.12,1635579.0
2010,CHE,Suisse,20-,20.91,1636295.0
2011,CHE,Suisse,20-,20.76,1642490.0
2012,CHE,Suisse,20-,20.54,1642924.0
2013,CHE,Suisse,20-,20.38,1648408.0
2014,CHE,Suisse,20-,20.26,1658633.0
2015,CHE,Suisse,20-,20.16,1669627.0
2016,CHE,Suisse,20-,20.11,1683481.0
2017,CHE,Suisse,20-,20.07,1695980.0
2018,CHE,Suisse,20-,20.02,1704974.0
2019,CHE,Suisse,20-,19.98,1713328.0
2020,CHE,Suisse,20-,19.93,1721748.0
2021,CHE,Suisse,20-,19.93,1734596.0
1990,PRT,Portugal,20-,28.91,2885847.0
1991,PRT,Portugal,20-,28.23,2812121.5
1992,PRT,Portugal,20-,27.58,2744431.5
1993,PRT,Portugal,20-,26.94,2684885.0
1994,PRT,Portugal,20-,26.31,2628798.0
1995,PRT,Portugal,20-,25.64,2570750.0
1996,PRT,Portugal,20-,25.0,2515725.0
1997,PRT,Portugal,20-,24.42,2468924.0
1998,PRT,Portugal,20-,23.94,2432828.5
1999,PRT,Portugal,20-,23.56,2406824.0
2000,PRT,Portugal,20-,23.15,2382194.5
2001,PRT,Portugal,20-,22.73,2355634.5
2002,PRT,Portugal,20-,22.37,2330601.0
2003,PRT,Portugal,20-,22.05,2306582.5
2004,PRT,Portugal,20-,21.77,2281971.0
2005,PRT,Portugal,20-,21.53,2261483.0
2006,PRT,Portugal,20-,21.35,2246401.0
2007,PRT,Portugal,20-,21.17,2232036.5
2008,PRT,Portugal,20-,21.0,2217439.5
2009,PRT,Portugal,20-,20.83,2201038.5
2010,PRT,Portugal,20-,20.59,2177284.0
2011,PRT,Portugal,20-,20.35,2151459.5
2012,PRT,Portugal,20-,20.19,2126296.5
2013,PRT,Portugal,20-,20.0,2095138.5
2014,PRT,Portugal,20-,19.81,2064137.0
2015,PRT,Portugal,20-,19.64,2038646.5
2016,PRT,Portugal,20-,19.47,2016142.5
2017,PRT,Portugal,20-,19.28,1993478.5
2018,PRT,Portugal,20-,19.07,1970665.5
2019,PRT,Portugal,20-,18.81,1947434.5
2020,PRT,Portugal,20-,18.5,1921011.5
2021,PRT,Portugal,20-,18.22,1896613.0
1990,NLD,Pays-Bas,20-,25.44,3804186.0
1991,NLD,Pays-Bas,20-,25.04,3774200.0
1992,NLD,Pays-Bas,20-,24.73,3754355.0
1993,NLD,Pays-Bas,20-,24.52,3748812.0
1994,NLD,Pays-Bas,20-,24.41,3755655.0
1995,NLD,Pays-Bas,20-,24.36,3765882.0
1996,NLD,Pays-Bas,20-,24.34,3779489.0
1997,NLD,Pays-Bas,20-,24.33,3798270.0
1998,NLD,Pays-Bas,20-,24.35,3824507.0
1999,NLD,Pays-Bas,20-,24.39,3856424.0
2000,NLD,Pays-Bas,20-,24.43,3890528.0
2001,NLD,Pays-Bas,20-,24.46,3924344.0
2002,NLD,Pays-Bas,20-,24.49,3954815.0
2003,NLD,Pays-Bas,20-,24.52,3978278.0
2004,NLD,Pays-Bas,20-,24.49,3987756.0
2005,NLD,Pays-Bas,20-,24.4,3981794.0
2006,NLD,Pays-Bas,20-,24.26,3966364.0
2007,NLD,Pays-Bas,20-,24.1,3948779.0
2008,NLD,Pays-Bas,20-,23.94,3937014.0
2009,NLD,Pays-Bas,20-,23.78,3930959.0
2010,NLD,Pays-Bas,20-,23.6,3921076.0
2011,NLD,Pays-Bas,20-,23.39,3904285.0
2012,NLD,Pays-Bas,20-,23.17,3882764.0
2013,NLD,Pays-Bas,20-,22.96,3858406.0
2014,NLD,Pays-Bas,20-,22.75,3837048.0
2015,NLD,Pays-Bas,20-,22.57,3823280.0
2016,NLD,Pays-Bas,20-,22.42,3817834.0
2017,NLD,Pays-Bas,20-,22.26,3813913.0
2018,NLD,Pays-Bas,20-,22.06,3801244.0
2019,NLD,Pays-Bas,20-,21.81,3783549.0
2020,NLD,Pays-Bas,20-,21.55,3759360.0
2021,NLD,Pays-Bas,20-,21.33,3740642.0
1990,ITA,Italie,20-,24.21,13732159.0
1991,ITA,Italie,20-,23.36,13258783.0
1992,ITA,Italie,20-,22.55,12809135.0
1993,ITA,Italie,20-,22.03,12518037.0
1994,ITA,Italie,20-,21.49,12216377.0
1995,ITA,Italie,20-,20.99,11929591.0
1996,ITA,Italie,20-,20.57,11697865.0
1997,ITA,Italie,20-,20.26,11523207.0
1998,ITA,Italie,20-,19.99,11378145.0
1999,ITA,Italie,20-,19.79,11261629.0
2000,ITA,Italie,20-,19.62,11174284.0
2001,ITA,Italie,20-,19.47,11091910.0
2002,ITA,Italie,20-,19.32,11029022.0
2003,ITA,Italie,20-,19.18,11010522.0
2004,ITA,Italie,20-,19.08,11033197.0
2005,ITA,Italie,20-,19.05,11077949.0
2006,ITA,Italie,20-,19.06,11128347.0
2007,ITA,Italie,20-,19.07,11202980.0
2008,ITA,Italie,20-,19.06,11284656.0
2009,ITA,Italie,20-,19.04,11337704.0
2010,ITA,Italie,20-,18.99,11356858.0
2011,ITA,Italie,20-,18.9,11343877.0
2012,ITA,Italie,20-,18.8,11315606.0
2013,ITA,Italie,20-,18.69,11273183.0
2014,ITA,Italie,20-,18.58,11209130.0
2015,ITA,Italie,20-,18.48,11129425.0
2016,ITA,Italie,20-,18.36,11036238.0
2017,ITA,Italie,20-,18.22,10934166.0
2018,ITA,Italie,20-,18.06,10813832.0
2019,ITA,Italie,20-,17.87,10672087.0
2020,ITA,Italie,20-,17.74,10546084.0
2021,ITA,Italie,20-,17.63,10424735.0
1990,GRC,Grèce,20-,26.85,2737989.0
1991,GRC,Grèce,20-,26.37,2721309.0
1992,GRC,Grèce,20-,25.81,2683801.0
1993,GRC,Grèce,20-,25.22,2638393.0
1994,GRC,Grèce,20-,24.6,2586643.0
1995,GRC,Grèce,20-,24.0,2535111.0
1996,GRC,Grèce,20-,23.41,2483877.0
1997,GRC,Grèce,20-,22.85,2435806.0
1998,GRC,Grèce,20-,22.28,2388277.0
1999,GRC,Grèce,20-,21.69,2334451.0
2000,GRC,Grèce,20-,21.12,2282217.0
2001,GRC,Grèce,20-,21.48,2332831.0
2002,GRC,Grèce,20-,21.88,2385442.0
2003,GRC,Grèce,20-,21.44,2343517.0
2004,GRC,Grèce,20-,21.08,2309014.0
2005,GRC,Grèce,20-,20.78,2283039.0
2006,GRC,Grèce,20-,20.53,2262029.0
2007,GRC,Grèce,20-,20.33,2245606.0
2008,GRC,Grèce,20-,20.15,2231852.0
2009,GRC,Grèce,20-,19.98,2219499.0
2010,GRC,Grèce,20-,19.85,2207055.0
2011,GRC,Grèce,20-,19.74,2191723.0
2012,GRC,Grèce,20-,19.67,2172715.0
2013,GRC,Grèce,20-,19.63,2152963.0
2014,GRC,Grèce,20-,19.55,2129845.0
2015,GRC,Grèce,20-,19.44,2103536.0
2016,GRC,Grèce,20-,19.41,2092101.0
2017,GRC,Grèce,20-,19.44,2090470.0
2018,GRC,Grèce,20-,19.43,2085728.0
2019,GRC,Grèce,20-,19.4,2080220.0
2020,GRC,Grèce,20-,19.33,2068132.0
2021,GRC,Grèce,20-,19.02,2009976.0
1990,DEU,Allemagne,20-,21.75,17278270.0
1991,DEU,Allemagne,20-,21.62,17298377.0
1992,DEU,Allemagne,20-,21.52,17348339.0
1993,DEU,Allemagne,20-,21.51,17455389.0
1994,DEU,Allemagne,20-,21.53,17529800.0
1995,DEU,Allemagne,20-,21.54,17590154.0
1996,DEU,Allemagne,20-,21.55,17651337.0
1997,DEU,Allemagne,20-,21.54,17667712.0
1998,DEU,Allemagne,20-,21.48,17622519.0
1999,DEU,Allemagne,20-,21.38,17556867.0
2000,DEU,Allemagne,20-,21.24,17459895.0
2001,DEU,Allemagne,20-,21.04,17324571.0
2002,DEU,Allemagne,20-,20.82,17174243.0
2003,DEU,Allemagne,20-,20.59,16996668.0
2004,DEU,Allemagne,20-,20.37,16808420.0
2005,DEU,Allemagne,20-,20.13,16599091.0
2006,DEU,Allemagne,20-,19.84,16344695.0
2007,DEU,Allemagne,20-,19.53,16064195.0
2008,DEU,Allemagne,20-,19.21,15771699.0
2009,DEU,Allemagne,20-,18.9,15479220.0
2010,DEU,Allemagne,20-,18.6,15210652.0
2011,DEU,Allemagne,20-,18.53,14876681.0
2012,DEU,Allemagne,20-,18.35,14760983.0
2013,DEU,Allemagne,20-,18.23,14701968.0
2014,DEU,Allemagne,20-,18.17,14718220.0
2015,DEU,Allemagne,20-,18.26,14912301.0
2016,DEU,Allemagne,20-,18.39,15146264.0
2017,DEU,Allemagne,20-,18.43,15236882.0
2018,DEU,Allemagne,20-,18.42,15273308.0
2019,DEU,Allemagne,20-,18.43,15312394.0
2020,DEU,Allemagne,20-,18.44,15332540.0
2021,DEU,Allemagne,20-,18.49,15384242.0
2022,DEU,Allemagne,20-,18.67,15647494.0
1990,SWE,Suède,20-,24.53,2099909.0
1991,SWE,Suède,20-,24.59,2119411.0
1992,SWE,Suède,20-,24.63,2134678.0
1993,SWE,Suède,20-,24.66,2149845.0
1994,SWE,Suède,20-,24.67,2166279.0
1995,SWE,Suède,20-,24.62,2173503.0
1996,SWE,Suède,20-,24.53,2168505.0
1997,SWE,Suède,20-,24.43,2160988.0
1998,SWE,Suède,20-,24.35,2154781.0
1999,SWE,Suède,20-,24.25,2148436.0
2000,SWE,Suède,20-,24.14,2141884.0
2001,SWE,Suède,20-,24.05,2139357.0
2002,SWE,Suède,20-,24.0,2141743.0
2003,SWE,Suède,20-,23.98,2148224.0
2004,SWE,Suède,20-,23.96,2155286.0
2005,SWE,Suède,20-,23.91,2158716.0
2006,SWE,Suède,20-,23.83,2164234.0
2007,SWE,Suède,20-,23.76,2174036.0
2008,SWE,Suède,20-,23.66,2181286.0
2009,SWE,Suède,20-,23.51,2185893.0
2010,SWE,Suède,20-,23.31,2185770.0
2011,SWE,Suède,20-,23.07,2180105.0
2012,SWE,Suède,20-,22.86,2176567.0
2013,SWE,Suède,20-,22.74,2183105.0
2014,SWE,Suède,20-,22.68,2199496.0
2015,SWE,Suède,20-,22.7,2224440.0
2016,SWE,Suède,20-,22.83,2265109.0
2017,SWE,Suède,20-,23.02,2315058.0
2018,SWE,Suède,20-,23.19,2359377.0
2019,SWE,Suède,20-,23.27,2391486.0
2020,SWE,Suède,20-,23.27,2409051.0
2021,SWE,Suède,20-,23.26,2422224.0
2022,SWE,Suède,20-,23.18,2431007.0
1990,SVN,Slovénie,20-,27.99,559355.0
1991,SVN,Slovénie,20-,27.69,554239.0
1992,SVN,Slovénie,20-,27.23,543548.0
1993,SVN,Slovénie,20-,26.8,533456.0
1994,SVN,Slovénie,20-,26.35,524069.0
1995,SVN,Slovénie,20-,26.03,517344.0
1996,SVN,Slovénie,20-,25.4,505752.0
1997,SVN,Slovénie,20-,24.76,491915.0
1998,SVN,Slovénie,20-,24.17,479240.0
1999,SVN,Slovénie,20-,23.57,467980.0
2000,SVN,Slovénie,20-,22.92,456145.0
2001,SVN,Slovénie,20-,22.31,444360.0
2002,SVN,Slovénie,20-,21.74,433884.0
2003,SVN,Slovénie,20-,21.26,424472.0
2004,SVN,Slovénie,20-,20.82,415850.0
2005,SVN,Slovénie,20-,20.41,408383.0
2006,SVN,Slovénie,20-,20.07,403028.0
2007,SVN,Slovénie,20-,19.71,397958.0
2008,SVN,Slovénie,20-,19.44,393216.0
2009,SVN,Slovénie,20-,19.24,392987.0
2010,SVN,Slovénie,20-,19.19,393342.0
2011,SVN,Slovénie,20-,19.15,393025.0
2012,SVN,Slovénie,20-,19.21,395083.0
2013,SVN,Slovénie,20-,19.27,396752.0
2014,SVN,Slovénie,20-,19.31,398194.0
2015,SVN,Slovénie,20-,19.38,399900.0
2016,SVN,Slovénie,20-,19.45,401476.0
2017,SVN,Slovénie,20-,19.48,402561.0
2018,SVN,Slovénie,20-,19.54,404430.0
2019,SVN,Slovénie,20-,19.54,408208.0
2020,SVN,Slovénie,20-,19.54,410331.0
2021,SVN,Slovénie,20-,19.57,412259.0
2022,SVN,Slovénie,20-,19.63,413962.0
1990,SVK,République slovaque,20-,33.42,1770330.0
1991,SVK,République slovaque,20-,33.26,1757002.0
1992,SVK,République slovaque,20-,31.96,1695975.0
1993,SVK,République slovaque,20-,31.57,1681127.0
1994,SVK,République slovaque,20-,32.09,1715941.0
1995,SVK,République slovaque,20-,31.44,1686185.0
1996,SVK,République slovaque,20-,30.75,1652329.0
1997,SVK,République slovaque,20-,30.01,1615767.0
1998,SVK,République slovaque,20-,29.27,1577709.0
1999,SVK,République slovaque,20-,28.5,1537752.0
2000,SVK,République slovaque,20-,27.76,1499147.0
2001,SVK,République slovaque,20-,27.34,1470727.0
2002,SVK,République slovaque,20-,26.59,1430244.0
2003,SVK,République slovaque,20-,25.87,1391392.0
2004,SVK,République slovaque,20-,25.16,1354524.0
2005,SVK,République slovaque,20-,24.5,1319716.0
2006,SVK,République slovaque,20-,23.86,1286249.0
2007,SVK,République slovaque,20-,23.27,1256188.0
2008,SVK,République slovaque,20-,22.75,1229921.0
2009,SVK,République slovaque,20-,22.31,1208611.0
2010,SVK,République slovaque,20-,21.92,1190464.0
2011,SVK,République slovaque,20-,21.72,1172562.5
2012,SVK,République slovaque,20-,21.38,1156017.5
2013,SVK,République slovaque,20-,21.06,1140106.0
2014,SVK,République slovaque,20-,20.8,1127002.0
2015,SVK,République slovaque,20-,20.65,1120091.5
2016,SVK,République slovaque,20-,20.59,1117997.0
2017,SVK,République slovaque,20-,20.57,1118833.0
2018,SVK,République slovaque,20-,20.59,1121251.5
2019,SVK,République slovaque,20-,20.62,1124645.0
2020,SVK,République slovaque,20-,20.67,1128469.5
2021,SVK,République slovaque,20-,20.76,1129721.5
2022,SVK,République slovaque,20-,20.91,1135676.5
1990,NOR,Norvège,20-,26.37,1118546.0
1991,NOR,Norvège,20-,26.18,1115732.0
1992,NOR,Norvège,20-,25.98,1113422.0
1993,NOR,Norvège,20-,25.83,1113668.0
1994,NOR,Norvège,20-,25.72,1115485.0
1995,NOR,Norvège,20-,25.66,1118459.0
1996,NOR,Norvège,20-,25.67,1124695.0
1997,NOR,Norvège,20-,25.74,1133670.0
1998,NOR,Norvège,20-,25.8,1143180.0
1999,NOR,Norvège,20-,25.86,1153869.0
2000,NOR,Norvège,20-,25.92,1164252.0
2001,NOR,Norvège,20-,25.95,1171447.0
2002,NOR,Norvège,20-,25.97,1178456.0
2003,NOR,Norvège,20-,25.99,1186382.0
2004,NOR,Norvège,20-,26.01,1194358.0
2005,NOR,Norvège,20-,26.0,1202175.0
2006,NOR,Norvège,20-,25.96,1210095.0
2007,NOR,Norvège,20-,25.88,1218575.0
2008,NOR,Norvège,20-,25.74,1227189.0
2009,NOR,Norvège,20-,25.59,1235591.0
2010,NOR,Norvège,20-,25.41,1242545.0
2011,NOR,Norvège,20-,25.18,1246947.0
2012,NOR,Norvège,20-,24.93,1251007.0
2013,NOR,Norvège,20-,24.7,1255052.0
2014,NOR,Norvège,20-,24.48,1257774.0
2015,NOR,Norvège,20-,24.27,1259838.0
2016,NOR,Norvège,20-,24.1,1261754.0
2017,NOR,Norvège,20-,23.91,1261813.0
2018,NOR,Norvège,20-,23.69,1258175.0
2019,NOR,Norvège,20-,23.41,1252101.0
2020,NOR,Norvège,20-,23.11,1243270.0
2021,NOR,Norvège,20-,22.86,1236263.0
2022,NOR,Norvège,20-,22.69,1238081.0
1990,FIN,Finlande,20-,25.38,1265570.0
1991,FIN,Finlande,20-,25.36,1271431.0
1992,FIN,Finlande,20-,25.39,1280318.0
1993,FIN,Finlande,20-,25.48,1290843.0
1994,FIN,Finlande,20-,25.51,1298234.0
1995,FIN,Finlande,20-,25.44,1299515.0
1996,FIN,Finlande,20-,25.3,1296401.0
1997,FIN,Finlande,20-,25.12,1291098.0
1998,FIN,Finlande,20-,24.93,1284850.0
1999,FIN,Finlande,20-,24.75,1278311.0
2000,FIN,Finlande,20-,24.57,1271657.0
2001,FIN,Finlande,20-,24.37,1264459.0
2002,FIN,Finlande,20-,24.14,1255474.0
2003,FIN,Finlande,20-,23.88,1244993.0
2004,FIN,Finlande,20-,23.65,1236259.0
2005,FIN,Finlande,20-,23.45,1230255.0
2006,FIN,Finlande,20-,23.3,1227186.0
2007,FIN,Finlande,20-,23.19,1226518.0
2008,FIN,Finlande,20-,23.06,1225427.0
2009,FIN,Finlande,20-,22.92,1223648.0
2010,FIN,Finlande,20-,22.77,1221357.0
2011,FIN,Finlande,20-,22.61,1218255.0
2012,FIN,Finlande,20-,22.43,1214426.0
2013,FIN,Finlande,20-,22.25,1210337.0
2014,FIN,Finlande,20-,22.08,1205877.0
2015,FIN,Finlande,20-,21.9,1200189.0
2016,FIN,Finlande,20-,21.75,1195016.0
2017,FIN,Finlande,20-,21.6,1189660.0
2018,FIN,Finlande,20-,21.44,1182441.0
2019,FIN,Finlande,20-,21.24,1173053.0
2020,FIN,Finlande,20-,21.04,1163401.0
2021,FIN,Finlande,20-,20.88,1156792.0
2022,FIN,Finlande,20-,20.72,1151389.0
1990,DNK,Danemark,20-,24.21,1244570.0
1991,DNK,Danemark,20-,24.03,1238365.0
1992,DNK,Danemark,20-,23.84,1232622.0
1993,DNK,Danemark,20-,23.68,1228733.0
1994,DNK,Danemark,20-,23.59,1227808.0
1995,DNK,Danemark,20-,23.52,1229525.0
1996,DNK,Danemark,20-,23.51,1236970.0
1997,DNK,Danemark,20-,23.57,1245379.0
1998,DNK,Danemark,20-,23.58,1250302.0
1999,DNK,Danemark,20-,23.64,1257285.0
2000,DNK,Danemark,20-,23.72,1266086.0
2001,DNK,Danemark,20-,23.89,1279340.0
2002,DNK,Danemark,20-,24.05,1292548.0
2003,DNK,Danemark,20-,24.21,1304365.0
2004,DNK,Danemark,20-,24.37,1316378.0
2005,DNK,Danemark,20-,24.48,1325687.0
2006,DNK,Danemark,20-,24.52,1332361.0
2007,DNK,Danemark,20-,24.53,1338839.0
2008,DNK,Danemark,20-,24.53,1346258.0
2009,DNK,Danemark,20-,24.47,1350502.0
2010,DNK,Danemark,20-,24.37,1350998.0
2011,DNK,Danemark,20-,24.2,1347211.0
2012,DNK,Danemark,20-,23.97,1339252.0
2013,DNK,Danemark,20-,23.7,1329007.0
2014,DNK,Danemark,20-,23.38,1318628.0
2015,DNK,Danemark,20-,23.07,1310196.0
2016,DNK,Danemark,20-,22.87,1309450.0
2017,DNK,Danemark,20-,22.68,1306388.0
2018,DNK,Danemark,20-,22.51,1303542.0
2019,DNK,Danemark,20-,22.3,1296896.0
2020,DNK,Danemark,20-,22.16,1291099.0
2021,DNK,Danemark,20-,22.0,1287017.0
2022,DNK,Danemark,20-,21.92,1295527.0
1990,HRV,Croatie,65+,11.6,560812.5
1990,HRV,Croatie,20-64,61.72,2984134.5
1990,HRV,Croatie,20-,26.68,1290118.5
1991,HRV,Croatie,65+,11.92,574965.5
1991,HRV,Croatie,20-64,61.69,2976417.5
1991,HRV,Croatie,20-,26.4,1273774.0
1992,HRV,Croatie,65+,12.32,588980.5
1992,HRV,Croatie,20-64,61.67,2949329.5
1992,HRV,Croatie,20-,26.01,1243922.5
1993,HRV,Croatie,65+,12.74,602698.5
1993,HRV,Croatie,20-64,61.65,2915934.5
1993,HRV,Croatie,20-,25.61,1211109.5
1994,HRV,Croatie,65+,13.19,616682.5
1994,HRV,Croatie,20-64,61.59,2879722.5
1994,HRV,Croatie,20-,25.22,1179109.0
1995,HRV,Croatie,65+,13.67,631634.0
1995,HRV,Croatie,20-64,61.47,2839599.0
1995,HRV,Croatie,20-,24.85,1148127.0
1996,HRV,Croatie,65+,14.17,646283.0
1996,HRV,Croatie,20-64,61.3,2796652.5
1996,HRV,Croatie,20-,24.54,1119363.5
1997,HRV,Croatie,65+,14.62,658536.0
1997,HRV,Croatie,20-64,61.13,2753458.5
1997,HRV,Croatie,20-,24.26,1092626.5
1998,HRV,Croatie,65+,15.05,669141.5
1998,HRV,Croatie,20-64,60.95,2709721.0
1998,HRV,Croatie,20-,24.0,1066805.0
1999,HRV,Croatie,65+,15.48,678969.0
1999,HRV,Croatie,20-64,60.78,2665832.5
1999,HRV,Croatie,20-,23.74,1041020.5
2000,HRV,Croatie,65+,15.92,688574.5
2000,HRV,Croatie,20-64,60.61,2622189.0
2000,HRV,Croatie,20-,23.47,1015341.0
2012,HRV,Croatie,65+,18.04,768499.0
2012,HRV,Croatie,20-64,61.22,2608217.0
2012,HRV,Croatie,20-,20.74,883652.0
2013,HRV,Croatie,65+,18.33,775919.0
2013,HRV,Croatie,20-64,61.13,2588013.0
2013,HRV,Croatie,20-,20.55,869990.0
2014,HRV,Croatie,65+,18.73,786817.0
2014,HRV,Croatie,20-64,60.89,2558220.0
2014,HRV,Croatie,20-,20.39,856561.0
2015,HRV,Croatie,65+,19.19,796554.0
2015,HRV,Croatie,20-64,60.57,2514585.0
2015,HRV,Croatie,20-,20.25,840586.0
2016,HRV,Croatie,65+,19.66,807257.0
2016,HRV,Croatie,20-64,60.35,2478610.0
2016,HRV,Croatie,20-,19.99,821000.0
2017,HRV,Croatie,65+,20.18,815357.0
2017,HRV,Croatie,20-64,60.08,2428216.0
2017,HRV,Croatie,20-,19.74,797834.0
2018,HRV,Croatie,65+,20.81,830019.0
2018,HRV,Croatie,20-64,59.67,2379926.0
2018,HRV,Croatie,20-,19.53,778830.0
