Year,REF_AREA,Country,Program,Spending_type,Value of GDP %
2002,ITA,Italie,family_total,Total,1.113
2003,ITA,Italie,family_total,Total,1.196
2004,ITA,Italie,family_total,Total,1.213
2005,ITA,Italie,family_total,Total,1.2
2006,ITA,Italie,family_total,Total,1.28
2007,ITA,Italie,family_total,Total,1.267
2008,ITA,Italie,family_total,Total,1.316
2009,ITA,Italie,family_total,Total,1.468
2010,ITA,Italie,family_total,Total,1.315
2011,ITA,Italie,family_total,Total,1.313
2012,ITA,Italie,family_total,Total,1.37
2013,ITA,Italie,family_total,Total,1.405
2014,ITA,Italie,family_total,Total,1.396
2015,ITA,Italie,family_total,Total,1.386
2016,ITA,Italie,family_total,Total,1.37
2017,ITA,Italie,family_total,Total,1.402
2018,ITA,Italie,family_total,Total,1.404
2019,ITA,Italie,family_total,Total,1.407
2020,ITA,Italie,family_total,Total,1.514
2021,ITA,Italie,family_total,Total,1.425
2000,LVA,Lettonie,family_total,Total,1.525
2001,LVA,Lettonie,family_total,Total,1.469
2002,LVA,Lettonie,family_total,Total,1.386
2003,LVA,Lettonie,family_total,Total,1.394
2004,LVA,Lettonie,family_total,Total,1.287
2005,LVA,Lettonie,family_total,Total,1.289
2006,LVA,Lettonie,family_total,Total,1.179
2007,LVA,Lettonie,family_total,Total,1.145
2008,LVA,Lettonie,family_total,Total,1.98
2009,LVA,Lettonie,family_total,Total,2.478
2010,LVA,Lettonie,family_total,Total,2.198
2011,LVA,Lettonie,family_total,Total,1.877
2012,LVA,Lettonie,family_total,Total,1.681
2013,LVA,Lettonie,family_total,Total,1.883
2014,LVA,Lettonie,family_total,Total,2.024
2015,LVA,Lettonie,family_total,Total,2.263
2016,LVA,Lettonie,family_total,Total,2.328
2017,LVA,Lettonie,family_total,Total,2.328
2018,LVA,Lettonie,family_total,Total,2.32
2019,LVA,Lettonie,family_total,Total,2.337
2020,LVA,Lettonie,family_total,Total,2.491
2021,LVA,Lettonie,family_total,Total,2.882
2000,LTU,Lituanie,family_total,Total,1.324
2001,LTU,Lituanie,family_total,Total,1.169
2002,LTU,Lituanie,family_total,Total,1.096
2003,LTU,Lituanie,family_total,Total,1.011
2004,LTU,Lituanie,family_total,Total,1.121
2005,LTU,Lituanie,family_total,Total,1.722
2006,LTU,Lituanie,family_total,Total,1.66
2007,LTU,Lituanie,family_total,Total,1.658
2008,LTU,Lituanie,family_total,Total,2.316
2009,LTU,Lituanie,family_total,Total,3.451
2010,LTU,Lituanie,family_total,Total,2.695
2011,LTU,Lituanie,family_total,Total,2.184
2012,LTU,Lituanie,family_total,Total,1.802
2013,LTU,Lituanie,family_total,Total,1.588
2014,LTU,Lituanie,family_total,Total,1.581
2015,LTU,Lituanie,family_total,Total,1.624
2016,LTU,Lituanie,family_total,Total,1.714
2017,LTU,Lituanie,family_total,Total,1.779
2018,LTU,Lituanie,family_total,Total,2.248
2019,LTU,Lituanie,family_total,Total,2.441
2020,LTU,Lituanie,family_total,Total,3.006
2021,LTU,Lituanie,family_total,Total,2.815
2000,LUX,Luxembourg,family_total,Total,2.983
2001,LUX,Luxembourg,family_total,Total,3.057
2002,LUX,Luxembourg,family_total,Total,3.366
2003,LUX,Luxembourg,family_total,Total,3.74
2004,LUX,Luxembourg,family_total,Total,3.657
2005,LUX,Luxembourg,family_total,Total,3.569
2006,LUX,Luxembourg,family_total,Total,3.347
2007,LUX,Luxembourg,family_total,Total,2.929
2008,LUX,Luxembourg,family_total,Total,3.532
2009,LUX,Luxembourg,family_total,Total,3.766
2010,LUX,Luxembourg,family_total,Total,3.615
2011,LUX,Luxembourg,family_total,Total,3.382
2012,LUX,Luxembourg,family_total,Total,3.39
2013,LUX,Luxembourg,family_total,Total,3.312
2014,LUX,Luxembourg,family_total,Total,3.233
2015,LUX,Luxembourg,family_total,Total,3.167
2016,LUX,Luxembourg,family_total,Total,3.06
2017,LUX,Luxembourg,family_total,Total,3.145
2018,LUX,Luxembourg,family_total,Total,3.267
2019,LUX,Luxembourg,family_total,Total,3.329
2020,LUX,Luxembourg,family_total,Total,3.756
2021,LUX,Luxembourg,family_total,Total,3.194
2000,NLD,Pays-Bas,family_total,Total,1.494
2001,NLD,Pays-Bas,family_total,Total,1.49
2002,NLD,Pays-Bas,family_total,Total,1.577
2003,NLD,Pays-Bas,family_total,Total,1.659
2004,NLD,Pays-Bas,family_total,Total,1.63
2005,NLD,Pays-Bas,family_total,Total,1.589
2006,NLD,Pays-Bas,family_total,Total,1.801
2007,NLD,Pays-Bas,family_total,Total,1.288
2008,NLD,Pays-Bas,family_total,Total,1.498
2009,NLD,Pays-Bas,family_total,Total,1.634
2010,NLD,Pays-Bas,family_total,Total,1.597
2011,NLD,Pays-Bas,family_total,Total,1.564
2012,NLD,Pays-Bas,family_total,Total,1.456
2013,NLD,Pays-Bas,family_total,Total,1.388
2014,NLD,Pays-Bas,family_total,Total,1.324
2015,NLD,Pays-Bas,family_total,Total,1.438
2016,NLD,Pays-Bas,family_total,Total,1.476
2017,NLD,Pays-Bas,family_total,Total,1.466
2018,NLD,Pays-Bas,family_total,Total,1.467
2019,NLD,Pays-Bas,family_total,Total,1.543
2020,NLD,Pays-Bas,family_total,Total,1.665
2021,NLD,Pays-Bas,family_total,Total,1.62
2000,NOR,Norvège,family_total,Total,2.992
2001,NOR,Norvège,family_total,Total,3.123
2002,NOR,Norvège,family_total,Total,3.018
2003,NOR,Norvège,family_total,Total,3.065
2004,NOR,Norvège,family_total,Total,2.96
2005,NOR,Norvège,family_total,Total,2.78
2006,NOR,Norvège,family_total,Total,2.68
2007,NOR,Norvège,family_total,Total,2.733
2008,NOR,Norvège,family_total,Total,2.712
2009,NOR,Norvège,family_total,Total,3.17
2010,NOR,Norvège,family_total,Total,3.132
2011,NOR,Norvège,family_total,Total,3.09
2012,NOR,Norvège,family_total,Total,3.027
2013,NOR,Norvège,family_total,Total,3.069
2014,NOR,Norvège,family_total,Total,3.14
2015,NOR,Norvège,family_total,Total,3.246
2016,NOR,Norvège,family_total,Total,3.345
2017,NOR,Norvège,family_total,Total,3.215
2018,NOR,Norvège,family_total,Total,3.052
2019,NOR,Norvège,family_total,Total,3.157
2020,NOR,Norvège,family_total,Total,3.384
2021,NOR,Norvège,family_total,Total,2.78
2000,POL,Pologne,family_total,Total,1.173
2001,POL,Pologne,family_total,Total,1.177
2002,POL,Pologne,family_total,Total,1.17
2003,POL,Pologne,family_total,Total,1.12
2004,POL,Pologne,family_total,Total,1.225
2005,POL,Pologne,family_total,Total,1.205
2006,POL,Pologne,family_total,Total,1.186
2007,POL,Pologne,family_total,Total,1.154
2008,POL,Pologne,family_total,Total,1.242
2009,POL,Pologne,family_total,Total,1.285
2010,POL,Pologne,family_total,Total,1.339
2011,POL,Pologne,family_total,Total,1.291
2012,POL,Pologne,family_total,Total,1.344
2013,POL,Pologne,family_total,Total,1.424
2014,POL,Pologne,family_total,Total,1.398
2015,POL,Pologne,family_total,Total,1.508
2016,POL,Pologne,family_total,Total,2.537
2017,POL,Pologne,family_total,Total,2.606
2018,POL,Pologne,family_total,Total,2.47
2019,POL,Pologne,family_total,Total,2.992
2020,POL,Pologne,family_total,Total,3.72
2021,POL,Pologne,family_total,Total,3.329
2000,PRT,Portugal,family_total,Total,0.974
2001,PRT,Portugal,family_total,Total,1.009
2002,PRT,Portugal,family_total,Total,1.307
2003,PRT,Portugal,family_total,Total,1.41
2004,PRT,Portugal,family_total,Total,1.164
2005,PRT,Portugal,family_total,Total,1.182
2006,PRT,Portugal,family_total,Total,1.163
2007,PRT,Portugal,family_total,Total,1.153
2008,PRT,Portugal,family_total,Total,1.234
2009,PRT,Portugal,family_total,Total,1.446
2010,PRT,Portugal,family_total,Total,1.386
2011,PRT,Portugal,family_total,Total,1.206
2012,PRT,Portugal,family_total,Total,1.235
2013,PRT,Portugal,family_total,Total,1.237
2014,PRT,Portugal,family_total,Total,1.228
2015,PRT,Portugal,family_total,Total,1.201
2016,PRT,Portugal,family_total,Total,1.213
2017,PRT,Portugal,family_total,Total,1.208
2018,PRT,Portugal,family_total,Total,1.187
2019,PRT,Portugal,family_total,Total,1.208
2020,PRT,Portugal,family_total,Total,1.383
2021,PRT,Portugal,family_total,Total,1.317
2000,SVK,République slovaque,family_total,Total,1.967
2001,SVK,République slovaque,family_total,Total,1.816
2002,SVK,République slovaque,family_total,Total,1.794
2003,SVK,République slovaque,family_total,Total,1.775
2004,SVK,République slovaque,family_total,Total,1.957
2005,SVK,République slovaque,family_total,Total,1.519
2006,SVK,République slovaque,family_total,Total,1.418
2007,SVK,République slovaque,family_total,Total,1.352
2008,SVK,République slovaque,family_total,Total,1.308
2009,SVK,République slovaque,family_total,Total,1.566
2010,SVK,République slovaque,family_total,Total,1.575
2011,SVK,République slovaque,family_total,Total,1.627
2012,SVK,République slovaque,family_total,Total,1.658
2013,SVK,République slovaque,family_total,Total,1.685
2014,SVK,République slovaque,family_total,Total,1.679
2015,SVK,République slovaque,family_total,Total,1.615
2016,SVK,République slovaque,family_total,Total,1.649
2017,SVK,République slovaque,family_total,Total,1.695
2018,SVK,République slovaque,family_total,Total,1.642
2019,SVK,République slovaque,family_total,Total,1.781
2020,SVK,République slovaque,family_total,Total,1.988
2021,SVK,République slovaque,family_total,Total,2.08
2000,SVN,Slovénie,family_total,Total,2.147
2001,SVN,Slovénie,family_total,Total,2.106
2002,SVN,Slovénie,family_total,Total,2.023
2003,SVN,Slovénie,family_total,Total,1.977
2004,SVN,Slovénie,family_total,Total,1.949
2005,SVN,Slovénie,family_total,Total,1.925
2006,SVN,Slovénie,family_total,Total,1.884
2007,SVN,Slovénie,family_total,Total,1.71
2008,SVN,Slovénie,family_total,Total,1.754
2009,SVN,Slovénie,family_total,Total,2.075
2010,SVN,Slovénie,family_total,Total,2.134
2011,SVN,Slovénie,family_total,Total,2.146
2012,SVN,Slovénie,family_total,Total,2.077
2013,SVN,Slovénie,family_total,Total,1.95
2014,SVN,Slovénie,family_total,Total,1.865
2015,SVN,Slovénie,family_total,Total,1.798
2016,SVN,Slovénie,family_total,Total,1.741
2017,SVN,Slovénie,family_total,Total,1.861
2018,SVN,Slovénie,family_total,Total,1.827
2019,SVN,Slovénie,family_total,Total,1.827
2020,SVN,Slovénie,family_total,Total,1.94
2021,SVN,Slovénie,family_total,Total,1.87
2000,ESP,Espagne,family_total,Total,0.887
2001,ESP,Espagne,family_total,Total,0.849
2002,ESP,Espagne,family_total,Total,0.861
2003,ESP,Espagne,family_total,Total,1.01
2004,ESP,Espagne,family_total,Total,1.035
2005,ESP,Espagne,family_total,Total,1.111
2006,ESP,Espagne,family_total,Total,1.136
2007,ESP,Espagne,family_total,Total,1.185
2008,ESP,Espagne,family_total,Total,1.283
2009,ESP,Espagne,family_total,Total,1.432
2010,ESP,Espagne,family_total,Total,1.42
2011,ESP,Espagne,family_total,Total,1.335
2012,ESP,Espagne,family_total,Total,1.299
2013,ESP,Espagne,family_total,Total,1.306
2014,ESP,Espagne,family_total,Total,1.268
2015,ESP,Espagne,family_total,Total,1.227
2016,ESP,Espagne,family_total,Total,1.198
2017,ESP,Espagne,family_total,Total,1.215
2018,ESP,Espagne,family_total,Total,1.228
2019,ESP,Espagne,family_total,Total,1.281
2020,ESP,Espagne,family_total,Total,1.524
2021,ESP,Espagne,family_total,Total,1.482
2000,SWE,Suède,family_total,Total,2.775
2001,SWE,Suède,family_total,Total,2.908
2002,SWE,Suède,family_total,Total,3.051
2003,SWE,Suède,family_total,Total,3.114
2004,SWE,Suède,family_total,Total,3.105
2005,SWE,Suède,family_total,Total,3.133
2006,SWE,Suède,family_total,Total,3.222
2007,SWE,Suède,family_total,Total,3.183
2008,SWE,Suède,family_total,Total,3.322
2009,SWE,Suède,family_total,Total,3.499
2010,SWE,Suède,family_total,Total,3.395
2011,SWE,Suède,family_total,Total,3.393
2012,SWE,Suède,family_total,Total,3.509
2013,SWE,Suède,family_total,Total,3.56
2014,SWE,Suède,family_total,Total,3.565
2015,SWE,Suède,family_total,Total,3.48
2016,SWE,Suède,family_total,Total,3.505
2017,SWE,Suède,family_total,Total,3.494
2018,SWE,Suède,family_total,Total,3.569
2019,SWE,Suède,family_total,Total,3.512
2020,SWE,Suède,family_total,Total,3.54
2021,SWE,Suède,family_total,Total,3.32
2000,CHE,Suisse,family_total,Total,1.328
2001,CHE,Suisse,family_total,Total,1.348
2002,CHE,Suisse,family_total,Total,1.43
2003,CHE,Suisse,family_total,Total,1.433
2004,CHE,Suisse,family_total,Total,1.394
2005,CHE,Suisse,family_total,Total,1.407
2006,CHE,Suisse,family_total,Total,1.393
2007,CHE,Suisse,family_total,Total,1.337
2008,CHE,Suisse,family_total,Total,1.267
2009,CHE,Suisse,family_total,Total,1.381
2010,CHE,Suisse,family_total,Total,1.391
2011,CHE,Suisse,family_total,Total,1.38
2012,CHE,Suisse,family_total,Total,1.412
2013,CHE,Suisse,family_total,Total,1.423
2014,CHE,Suisse,family_total,Total,1.483
2015,CHE,Suisse,family_total,Total,1.628
2016,CHE,Suisse,family_total,Total,1.611
2017,CHE,Suisse,family_total,Total,1.624
2018,CHE,Suisse,family_total,Total,1.596
2019,CHE,Suisse,family_total,Total,1.642
2020,CHE,Suisse,family_total,Total,1.745
2021,CHE,Suisse,family_total,Total,1.675
2000,GBR,Royaume-Uni,family_total,Total,2.385
2001,GBR,Royaume-Uni,family_total,Total,2.473
2002,GBR,Royaume-Uni,family_total,Total,2.531
2003,GBR,Royaume-Uni,family_total,Total,2.794
2004,GBR,Royaume-Uni,family_total,Total,2.875
2005,GBR,Royaume-Uni,family_total,Total,2.838
2006,GBR,Royaume-Uni,family_total,Total,2.836
2007,GBR,Royaume-Uni,family_total,Total,3.111
2008,GBR,Royaume-Uni,family_total,Total,3.332
2009,GBR,Royaume-Uni,family_total,Total,3.681
2010,GBR,Royaume-Uni,family_total,Total,3.927
2011,GBR,Royaume-Uni,family_total,Total,3.848
2012,GBR,Royaume-Uni,family_total,Total,3.885
2013,GBR,Royaume-Uni,family_total,Total,3.654
2014,GBR,Royaume-Uni,family_total,Total,3.485
2015,GBR,Royaume-Uni,family_total,Total,3.439
2016,GBR,Royaume-Uni,family_total,Total,3.319
2017,GBR,Royaume-Uni,family_total,Total,3.218
2018,GBR,Royaume-Uni,family_total,Total,3.012
2019,GBR,Royaume-Uni,family_total,Total,2.435
2020,GBR,Royaume-Uni,family_total,Total,2.385
2021,GBR,Royaume-Uni,family_total,Total,2.027
