Year,REF_AREA,Country,Age,Value_emp_rate
2020,GBR,Royaume-Uni,20-64,78.28
2021,AUT,Autriche,20-64,75.59
2021,BEL,Belgique,20-64,70.62
2021,DNK,Danemark,20-64,79.14
2021,EST,Estonie,20-64,79.34
2021,FIN,Finlande,20-64,76.92
2021,FRA,France,20-64,73.19
2021,DEU,Allemagne,20-64,79.37
2021,GRC,Grèce,20-64,62.56
2021,ISL,Islande,20-64,81.38
2021,ITA,Italie,20-64,62.75
2021,LVA,Lettonie,20-64,75.29
2021,LTU,Lituanie,20-64,77.42
2021,LUX,Luxembourg,20-64,74.09
2021,NLD,Pays-Bas,20-64,81.66
2021,NOR,Norvège,20-64,79.95
2021,SVK,République slovaque,20-64,74.64
2021,SVN,Slovénie,20-64,76.09
2021,ESP,Espagne,20-64,67.48
2021,SWE,Suède,20-64,80.44
2021,GBR,Royaume-Uni,20-64,78.05
2011,PRT,Portugal,20-64,66.62
2015,PRT,Portugal,20-64,67.89
2014,PRT,Portugal,20-64,66.06
2012,PRT,Portugal,20-64,64.04
2013,PRT,Portugal,20-64,63.37
2016,PRT,Portugal,20-64,69.5
2017,PRT,Portugal,20-64,72.46
2018,HUN,Hongrie,20-64,74.5
2018,PRT,Portugal,20-64,74.64
2019,HUN,Hongrie,20-64,75.45
2019,POL,Pologne,20-64,73.27
2019,PRT,Portugal,20-64,75.4
2020,DNK,Danemark,20-64,77.9
2020,HUN,Hongrie,20-64,75.17
2020,POL,Pologne,20-64,73.67
2020,PRT,Portugal,20-64,73.89
2021,HUN,Hongrie,20-64,78.9
2021,IRL,Irlande,20-64,75.41
2021,POL,Pologne,20-64,75.47
2021,PRT,Portugal,20-64,75.46
2021,CHE,Suisse,20-64,82.05
