Year,REF_AREA,birth_rate,fertility
2003,IRL,15.521,1.96
2003,EST,9.479,1.37
2003,CHE,9.824,1.39
2003,GRC,9.566,1.29
2003,LVA,9.199,1.32
2003,SWE,11.09,1.71
2003,ESP,10.532,1.3
2003,SVK,9.621,1.2
2003,DEU,8.563,1.34
2003,LUX,11.829,1.62
2003,ISL,14.362,1.99
2004,ISL,14.571,2.04
2004,LUX,11.983,1.66
2004,DEU,8.55,1.36
2004,SVK,10.005,1.25
2004,ESP,10.651,1.31
2004,SWE,11.245,1.75
2004,LVA,9.027,1.29
2004,GRC,9.657,1.31
2004,CHE,9.924,1.42
2004,EST,10.241,1.47
2004,IRL,15.382,1.93
2004,NOR,12.442,1.83
2004,AUT,9.698,1.42
2004,FIN,11.065,1.8
2004,SVN,8.997,1.25
2004,ITA,9.765,1.34
2004,PRT,10.436,1.4
2004,HUN,9.404,1.28
2004,DNK,11.97,1.78
2004,NLD,11.933,1.72
2004,GBR,11.94,1.48
2004,LTU,8.758,1.27
2004,FRA,12.824,1.92
2004,POL,9.325,1.23
2005,POL,9.545,1.24
2005,FRA,12.843,1.94
2005,LTU,8.795,1.29
2005,GBR,11.957,1.48
2005,NLD,11.524,1.71
2005,DNK,11.879,1.8
2005,HUN,9.655,1.31
2005,PRT,10.424,1.41
2005,ITA,9.545,1.34
2005,SVN,9.089,1.26
2005,FIN,11.027,1.8
2005,AUT,9.534,1.41
2005,NOR,12.321,1.84
2005,IRL,14.926,1.86
2005,EST,10.56,1.52
2005,CHE,9.832,1.42
2005,GRC,9.804,1.34
2005,LVA,9.725,1.39
2005,SWE,11.246,1.77
2005,ESP,10.736,1.33
2005,SVK,10.131,1.27
2005,DEU,8.313,1.34
2005,LUX,11.645,1.63
2005,ISL,14.579,2.05
2006,ISL,14.722,2.08
2006,LUX,11.755,1.65
2006,DEU,8.16,1.33
2006,SVK,10.033,1.25
2006,ESP,10.936,1.36
2006,SWE,11.706,1.85
2006,LVA,10.266,1.46
2006,GRC,10.181,1.4
2006,CHE,9.836,1.44
2006,EST,11.014,1.58
2006,IRL,15.547,1.92
2006,NOR,12.617,1.9
2006,AUT,9.439,1.41
2006,FIN,11.196,1.84
2006,SVN,9.45,1.31
2006,ITA,9.607,1.37
2006,PRT,10.031,1.37
2006,HUN,9.911,1.34
2006,DNK,11.973,1.85
2006,NLD,11.329,1.72
2006,GBR,12.303,1.48
2006,LTU,8.999,1.33
2006,FRA,13.105,2.0
2006,POL,9.808,1.27
2007,POL,10.174,1.31
2007,FRA,12.851,1.98
2007,LTU,9.237,1.36
2007,GBR,12.59,1.48
2007,NLD,11.085,1.72
2007,DNK,11.764,1.84
2007,HUN,9.697,1.32
2007,PRT,9.731,1.35
2007,ITA,9.638,1.4
2007,SVN,9.86,1.38
2007,FIN,11.129,1.83
2007,AUT,9.206,1.38
2007,NOR,12.488,1.9
2007,IRL,16.449,2.01
2007,EST,11.747,1.69
2007,CHE,9.921,1.46
2007,GRC,10.142,1.41
2007,LVA,10.846,1.54
2007,SWE,11.787,1.88
2007,ESP,10.967,1.38
2007,SVK,10.129,1.27
2007,DEU,8.32,1.37
2007,LUX,11.502,1.61
2007,ISL,14.821,2.09
2008,ISL,15.327,2.15
2008,LUX,11.567,1.61
2008,DEU,8.301,1.38
2008,SVK,10.67,1.34
2008,ESP,11.354,1.45
2008,SWE,11.903,1.91
2008,LVA,11.131,1.58
2008,GRC,10.695,1.5
2008,CHE,10.1,1.48
2008,EST,11.975,1.72
2008,IRL,16.863,2.06
2008,NOR,12.771,1.96
2008,AUT,9.359,1.42
2008,FIN,11.231,1.85
2008,SVN,10.853,1.53
2008,ITA,9.774,1.45
2008,PRT,9.911,1.39
2008,HUN,9.87,1.35
2008,DNK,11.877,1.89
2008,NLD,11.254,1.77
2008,GBR,12.845,1.48
2008,LTU,9.816,1.45
2008,FRA,12.932,2.01
2008,POL,10.875,1.39
2009,POL,10.95,1.4
2009,FRA,12.794,2.0
2009,LTU,10.103,1.5
2009,GBR,12.688,1.48
2009,NLD,11.217,1.79
2009,DNK,11.398,1.84
2009,HUN,9.614,1.32
2009,PRT,9.419,1.34
2009,ITA,9.573,1.45
2009,SVN,10.754,1.53
2009,FIN,11.346,1.86
2009,AUT,9.159,1.39
2009,NOR,12.878,1.98
2009,IRL,16.711,2.06
2009,EST,11.801,1.7
2009,CHE,10.165,1.5
2009,GRC,10.63,1.5
2009,LVA,10.192,1.46
2009,SWE,12.078,1.94
