Year,REF_AREA,Country,Expenditure,value_raw,Unit_mult,Currency,Value_expenditure_Share %
2010,FRA,France,Food,140595.0,6,EUR,13.1
2010,FRA,France,Health,44579.0,6,EUR,4.15
2010,FRA,France,Household_Goods,55400.0,6,EUR,5.16
2010,FRA,France,Communication,34274.0,6,EUR,3.19
2010,FRA,France,Recreation_Culture,92950.0,6,EUR,8.66
2011,FRA,France,Other_Services,134642.0,6,EUR,12.22
2011,FRA,France,Alcohol_Tobacco,40672.0,6,EUR,3.69
2011,FRA,France,Education,4664.0,6,EUR,0.42
2011,FRA,France,Clothing_Footwear,44787.0,6,EUR,4.06
2011,FRA,France,Housing_Utilities,281212.0,6,EUR,25.52
2011,FRA,France,Transport,154090.0,6,EUR,13.99
2011,FRA,France,Restaurants_Hotels,71953.0,6,EUR,6.53
2011,FRA,France,Food,144500.0,6,EUR,13.12
2011,FRA,France,Communication,33307.0,6,EUR,3.02
2011,FRA,France,Health,46365.0,6,EUR,4.21
2011,FRA,France,Household_Goods,56533.0,6,EUR,5.13
2011,FRA,France,Recreation_Culture,93325.0,6,EUR,8.47
2012,FRA,France,Housing_Utilities,292993.0,6,EUR,26.21
2012,FRA,France,Transport,152352.0,6,EUR,13.63
2012,FRA,France,Restaurants_Hotels,73364.0,6,EUR,6.56
2012,FRA,France,Other_Services,133963.0,6,EUR,11.98
2012,FRA,France,Education,4839.0,6,EUR,0.43
2012,FRA,France,Clothing_Footwear,44718.0,6,EUR,4.0
2012,FRA,France,Alcohol_Tobacco,41971.0,6,EUR,3.75
2012,FRA,France,Food,149773.0,6,EUR,13.4
2012,FRA,France,Household_Goods,56493.0,6,EUR,5.05
2012,FRA,France,Health,47307.0,6,EUR,4.23
2012,FRA,France,Communication,31404.0,6,EUR,2.81
2012,FRA,France,Recreation_Culture,92284.0,6,EUR,8.25
2013,FRA,France,Transport,149893.0,6,EUR,13.25
2013,FRA,France,Restaurants_Hotels,74073.0,6,EUR,6.55
2013,FRA,France,Other_Services,137459.0,6,EUR,12.15
2013,FRA,France,Housing_Utilities,301631.0,6,EUR,26.67
2013,FRA,France,Education,5047.0,6,EUR,0.45
2013,FRA,France,Clothing_Footwear,44781.0,6,EUR,3.96
2013,FRA,France,Alcohol_Tobacco,43050.0,6,EUR,3.81
2013,FRA,France,Recreation_Culture,90441.0,6,EUR,8.0
2013,FRA,France,Food,153370.0,6,EUR,13.56
2013,FRA,France,Household_Goods,55837.0,6,EUR,4.94
2013,FRA,France,Health,47805.0,6,EUR,4.23
2013,FRA,France,Communication,30501.0,6,EUR,2.7
2014,FRA,France,Housing_Utilities,301951.0,6,EUR,26.51
2014,FRA,France,Other_Services,137975.0,6,EUR,12.11
2014,FRA,France,Education,5169.0,6,EUR,0.45
2014,FRA,France,Clothing_Footwear,45311.0,6,EUR,3.98
2014,FRA,France,Alcohol_Tobacco,43485.0,6,EUR,3.82
2014,FRA,France,Restaurants_Hotels,77315.0,6,EUR,6.79
2014,FRA,France,Transport,149483.0,6,EUR,13.12
2014,FRA,France,Recreation_Culture,91447.0,6,EUR,8.03
2014,FRA,France,Food,153129.0,6,EUR,13.44
2014,FRA,France,Household_Goods,56017.0,6,EUR,4.92
2014,FRA,France,Health,48277.0,6,EUR,4.24
2014,FRA,France,Communication,29796.0,6,EUR,2.62
2015,FRA,France,Housing_Utilities,306758.0,6,EUR,26.45
2015,FRA,France,Other_Services,144582.0,6,EUR,12.47
2015,FRA,France,Education,5340.0,6,EUR,0.46
2015,FRA,France,Clothing_Footwear,45459.0,6,EUR,3.92
2015,FRA,France,Alcohol_Tobacco,44234.0,6,EUR,3.81
2015,FRA,France,Restaurants_Hotels,79072.0,6,EUR,6.82
2015,FRA,France,Transport,150549.0,6,EUR,12.98
2015,FRA,France,Recreation_Culture,92259.0,6,EUR,7.96
2015,FRA,France,Food,155203.0,6,EUR,13.38
2015,FRA,France,Household_Goods,57072.0,6,EUR,4.92
2015,FRA,France,Health,48779.0,6,EUR,4.21
2015,FRA,France,Communication,29764.0,6,EUR,2.57
2016,FRA,France,Housing_Utilities,311300.0,6,EUR,26.43
2016,FRA,France,Other_Services,145980.0,6,EUR,12.39
2016,FRA,France,Education,5423.0,6,EUR,0.46
2016,FRA,France,Clothing_Footwear,45294.0,6,EUR,3.85
2016,FRA,France,Alcohol_Tobacco,44413.0,6,EUR,3.77
2016,FRA,France,Restaurants_Hotels,82004.0,6,EUR,6.96
2016,FRA,France,Transport,154695.0,6,EUR,13.13
2016,FRA,France,Recreation_Culture,94112.0,6,EUR,7.99
2016,FRA,France,Food,158121.0,6,EUR,13.42
2016,FRA,France,Health,49338.0,6,EUR,4.19
2016,FRA,France,Household_Goods,58101.0,6,EUR,4.93
2016,FRA,France,Communication,29472.0,6,EUR,2.5
2017,FRA,France,Housing_Utilities,316382.0,6,EUR,26.23
2017,FRA,France,Other_Services,149959.0,6,EUR,12.43
2017,FRA,France,Education,5914.0,6,EUR,0.49
2017,FRA,France,Clothing_Footwear,45926.0,6,EUR,3.81
2017,FRA,France,Alcohol_Tobacco,45023.0,6,EUR,3.73
2017,FRA,France,Restaurants_Hotels,86783.0,6,EUR,7.19
2017,FRA,France,Transport,164597.0,6,EUR,13.65
2017,FRA,France,Recreation_Culture,96154.0,6,EUR,7.97
2017,FRA,France,Food,160284.0,6,EUR,13.29
2017,FRA,France,Communication,29109.0,6,EUR,2.41
2017,FRA,France,Health,49632.0,6,EUR,4.11
2017,FRA,France,Household_Goods,59218.0,6,EUR,4.91
2018,FRA,France,Education,5929.0,6,EUR,0.48
2018,FRA,France,Clothing_Footwear,44912.0,6,EUR,3.61
2018,FRA,France,Alcohol_Tobacco,46865.0,6,EUR,3.77
2018,FRA,France,Housing_Utilities,324834.0,6,EUR,26.13
2018,FRA,France,Other_Services,155967.0,6,EUR,12.55
2018,FRA,France,Transport,174561.0,6,EUR,14.04
2018,FRA,France,Restaurants_Hotels,92326.0,6,EUR,7.43
2018,FRA,France,Recreation_Culture,98033.0,6,EUR,7.89
2018,FRA,France,Communication,29576.0,6,EUR,2.38
2018,FRA,France,Household_Goods,57144.0,6,EUR,4.6
2018,FRA,France,Health,50137.0,6,EUR,4.03
2018,FRA,France,Food,162785.0,6,EUR,13.1
2019,FRA,France,Housing_Utilities,333678.0,6,EUR,26.25
2019,FRA,France,Other_Services,156397.0,6,EUR,12.3
2019,FRA,France,Education,6184.0,6,EUR,0.49
2019,FRA,France,Clothing_Footwear,44950.0,6,EUR,3.54
2019,FRA,France,Alcohol_Tobacco,48055.0,6,EUR,3.78
2019,FRA,France,Transport,178590.0,6,EUR,14.05
2019,FRA,France,Restaurants_Hotels,97725.0,6,EUR,7.69
2019,FRA,France,Recreation_Culture,100967.0,6,EUR,7.94
2019,FRA,France,Communication,29870.0,6,EUR,2.35
2019,FRA,France,Household_Goods,58301.0,6,EUR,4.59
2019,FRA,France,Health,50585.0,6,EUR,3.98
2019,FRA,France,Food,166478.0,6,EUR,13.1
2020,FRA,France,Education,5818.0,6,EUR,0.49
2020,FRA,France,Clothing_Footwear,37429.0,6,EUR,3.14
2020,FRA,France,Alcohol_Tobacco,51953.0,6,EUR,4.36
2020,FRA,France,Housing_Utilities,336356.0,6,EUR,28.24
2020,FRA,France,Other_Services,151791.0,6,EUR,12.75
2020,FRA,France,Transport,139431.0,6,EUR,11.71
2020,FRA,France,Restaurants_Hotels,67186.0,6,EUR,5.64
