STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,ACTIVITY,Economic activity,PRICES,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,REF_YEAR_PRICE,Price reference year,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2009,,38912.6,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2010,,39286.4,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2010,,43581.3,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2011,,44784.9,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2011,,39902.5,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2012,,40925.2,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2012,,45864.2,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2013,,45520.4,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2013,,40144.2,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2014,,41507.3,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2014,,47111.7,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2015,,49018.8,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2015,,42976.2,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2016,,43544,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2016,,49542.4,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2017,,50751.2,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2017,,44627.9,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B6N,"Disposable income, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2018,,46016.1,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2018,,52096.5,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_INC(2.0),Income - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,53149.5,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
