STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,SEX,Sexe,AGE,Âge,TIME_HORIZ,Horizon temporel,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ISL,Islande,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,60756,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,IRL,Irlande,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,1369357,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,IRL,Irlande,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,3177747,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,IRL,Irlande,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,5380313,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,IRL,Irlande,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,833209,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ISR,Israël,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,4972033,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ISR,Israël,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,1287985,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ISR,Israël,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,3447124,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ISR,Israël,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,9707142,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ITA,Italie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,58952700,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ITA,Italie,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,34463167,,A,Valeur normale,0,Units,0,Zero
