STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,CHAPTER,Chapitre,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,ADJUSTMENT,Ajustement,COUNTERPART_AREA,Zone de contrepartie,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,CONSOLIDATION,Statut de consolidation,ACCOUNTING_ENTRY,Ecriture comptable,TRANSACTION,Transaction,INSTR_ASSET,Instruments et actifs,MATURITY,Échéance initiale et résiduelle,PRODUCT,Produit,PENSION_FUNDTYPE,Type de fond de pension,CURRENCY_DENOM,Monnaie de libellé,VALUATION,Evaluation,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,REF_YEAR_PRICE,Prix ​​année de référence,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,EST,Estonie,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,14814.4054223632,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,FIN,Finlande,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,127270.531428309,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,FRA,France,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,1454297.68983122,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,DEU,Allemagne,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,2036179.01304527,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,GRC,Grèce,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,115365.413968983,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,IRL,Irlande,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,114894.581593501,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,ITA,Italie,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,1103951.45021774,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,LVA,Lettonie,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,17128.6474520751,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,LTU,Lituanie,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,28106.805793367,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapitre 5: Ménages,I,A,Annuelle,LUX,Luxembourg,B6N_R_PPP_P31S14,"Revenu disponible net réel des ménages et des ISBLSM, déflaté par la consommation finale des ménages et des ISBLSM",XDC,Monnaie nationale,NAAG_V,Part V: Households,2019,,23154.8988413157,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,W,Monde,S1M,Les Ménages et ISBLSM,S1,Economie totale,_Z,Non applicable,B,Solde (recettes moins dépenses),B6N_R,"Revenu disponible réel des ménages, net",_Z,Non applicable,,,,,,,,,,,L,Volumes chaînés,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,6,Millions,EUR,Euro
