Year,REF_AREA,birth_rate,fertility,emp_rate,20-,20-64,65+,Alcohol_Tobacco,Clothing_Footwear,Communication,Education,Food,Health,Household_Goods,Housing_Utilities,Other_Services,Recreation_Culture,Restaurants_Hotels,Transport,gov_spending,"Couple, 2 children","Couple, no children","Single person, no children"
2000,GBR,11.526,1.48,73.84,25.19,59.0,15.81,4.66,4.92,2.52,0.95,8.16,1.43,5.36,25.56,11.99,10.33,10.14,14.16,2.385,21.46,24.59,25.81
2000,LTU,9.723,1.39,65.37,27.45,58.73,13.82,8.17,5.96,2.63,0.6,27.75,3.4,5.19,16.7,5.29,6.05,2.83,15.44,1.324,27.32,27.32,28.75
2000,FRA,13.326,1.89,68.7,25.75,58.37,15.87,3.92,5.29,2.79,0.37,13.46,3.64,5.51,22.82,12.49,9.17,6.58,14.64,3.016,21.38,27.48,29.16
2000,POL,9.888,1.37,61.0,28.17,59.59,12.24,7.98,5.29,2.69,1.25,23.58,3.54,4.33,19.19,9.93,6.84,2.91,12.47,1.173,25.01,27.27,27.8
2001,POL,9.625,1.31,59.23,27.44,60.09,12.47,7.77,5.05,2.9,1.36,23.83,3.71,4.25,20.81,9.82,5.91,2.83,11.74,1.177,24.82,27.1,27.66
2001,FRA,13.159,1.9,69.2,25.61,58.4,15.99,3.93,5.11,2.96,0.37,13.66,3.65,5.4,22.84,12.74,9.15,6.57,14.41,2.945,21.14,27.14,28.84
2001,LTU,8.943,1.29,64.04,27.01,58.8,14.19,7.77,5.94,3.11,0.64,27.89,3.26,5.41,15.44,6.06,7.04,2.88,14.55,1.169,27.36,27.36,28.79
2001,GBR,11.315,1.48,74.2,25.01,59.13,15.86,4.5,4.93,2.49,1.03,8.16,1.61,5.57,25.51,11.58,10.41,10.04,14.3,2.473,19.94,24.25,25.53
2001,NLD,12.673,1.71,73.68,24.46,61.92,13.63,3.07,5.81,4.2,0.64,10.7,4.21,6.64,18.81,14.83,11.23,7.52,13.05,1.49,26.73,30.05,30.63
2001,DNK,12.237,1.74,78.36,23.89,61.29,14.82,4.74,4.51,2.03,0.76,12.16,2.62,5.5,26.61,12.68,11.34,5.42,11.64,3.461,35.02,39.04,40.64
2001,HUN,9.514,1.31,61.3,22.95,61.85,15.2,6.67,4.05,4.19,1.65,18.78,3.95,6.08,17.81,8.32,8.22,5.77,14.51,2.874,25.28,35.21,38.34
2001,PRT,10.916,1.45,73.88,22.73,60.81,16.46,3.53,6.43,3.03,1.36,17.04,4.32,6.58,12.46,10.62,7.63,10.82,16.16,1.009,14.78,19.19,21.51
2001,ITA,9.397,1.25,58.63,19.47,61.96,18.57,4.34,7.46,3.05,0.94,14.99,3.26,7.29,18.25,10.43,7.27,8.88,13.86,1.212,24.21,26.67,28.47
2001,SVN,8.782,1.21,69.42,22.31,63.39,14.3,5.26,6.19,2.47,0.88,16.77,3.27,6.01,19.24,7.95,10.3,6.5,15.18,2.106,25.26,34.18,35.44
2001,FIN,10.845,1.73,72.71,24.37,60.55,15.08,6.15,4.6,3.31,0.46,12.76,3.88,4.93,24.38,9.48,11.24,6.44,12.38,2.819,24.92,30.16,32.62
2001,AUT,9.408,1.33,71.19,22.83,61.71,15.46,3.49,6.87,2.72,0.73,10.37,3.83,7.2,19.47,10.67,10.54,11.32,12.78,2.872,20.74,29.32,31.39
2001,NOR,12.589,1.78,80.14,25.95,59.04,15.01,4.61,5.71,2.72,0.57,14.32,2.79,6.26,20.78,8.55,12.88,6.21,14.6,3.123,25.37,29.65,31.44
2001,IRL,15.095,1.94,72.49,29.84,58.99,11.17,7.14,6.31,2.34,0.97,10.98,2.6,7.16,18.43,10.99,7.9,14.18,10.99,2.192,16.23,18.68,23.52
2001,EST,9.07,1.32,67.41,24.5,60.22,15.28,7.23,6.68,3.15,1.13,20.35,3.03,4.86,21.35,6.88,8.34,6.31,10.7,1.605,16.69,20.59,21.48
2001,CHE,10.035,1.38,81.86,22.71,61.75,15.54,4.46,2.98,2.07,0.72,9.25,12.63,3.92,23.01,11.72,9.06,10.28,9.89,1.348,12.41,17.89,17.85
2001,GRC,9.439,1.25,61.53,21.48,60.92,17.6,4.7,5.99,3.26,1.45,16.33,4.06,4.09,16.45,10.91,4.87,15.78,12.09,0.782,21.36,20.78,20.83
2001,LVA,8.382,1.22,64.69,24.82,59.92,15.25,9.43,4.94,2.43,1.88,25.1,4.66,2.76,17.87,5.2,9.14,5.41,11.16,1.469,19.03,27.43,28.14
2001,SWE,10.297,1.57,78.79,24.05,58.74,17.22,4.02,4.66,3.16,0.03,12.18,2.88,4.85,27.12,10.26,12.24,5.38,13.21,2.908,26.8,31.71,32.39
2001,ESP,9.967,1.23,62.04,20.71,62.37,16.92,4.44,5.99,2.52,1.48,14.04,3.18,5.58,15.19,9.78,8.82,17.05,11.92,0.849,16.14,18.31,20.15
2001,SVK,9.507,1.2,63.56,27.34,61.29,11.37,5.97,5.22,3.95,0.82,17.83,0.98,5.41,28.29,6.5,9.03,7.59,8.41,1.816,14.41,20.36,21.22
2001,DEU,8.929,1.35,69.08,21.04,62.11,16.85,3.67,5.85,2.71,0.64,10.97,3.9,7.33,23.84,11.42,10.91,5.43,13.32,1.988,33.22,39.15,42.03
2001,LUX,12.435,1.66,67.55,24.54,61.54,13.91,9.99,5.55,1.47,0.52,8.78,1.87,6.88,21.32,12.96,7.34,7.27,16.04,3.057,11.59,21.53,27.16
