Year,REF_AREA,Country,Household_type,Measure,INCOME_PRINCIPAL,INCOME_SPOUSE,Net_average_tax_rate_pct,Unit_measure
2004,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,27.04,PT
2005,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,26.57,PT
2006,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,27.99,PT
2007,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,31.74,PT
2008,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,31.43,PT
2009,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,31.21,PT
2010,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,25.03,PT
2011,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,24.53,PT
2012,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,25.29,PT
2013,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,24.97,PT
2014,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,25.34,PT
2015,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,25.69,PT
2016,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,24.24,PT
2017,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,24.4,PT
2018,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,24.52,PT
2019,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,24.8,PT
2020,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,25.58,PT
2021,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,26.14,PT
2022,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,27.13,PT
2023,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,28.03,PT
2024,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,100,28.66,PT
2000,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,25.43,PT
2001,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,25.67,PT
2002,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.65,PT
2003,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.25,PT
2004,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.92,PT
2005,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,29.05,PT
2006,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.18,PT
2007,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.48,PT
2008,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,26.77,PT
2009,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,25.38,PT
2010,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.51,PT
2011,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.38,PT
2012,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.51,PT
2013,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,29.05,PT
2014,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.91,PT
2015,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,29.35,PT
2016,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,29.04,PT
2017,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.31,PT
2018,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.37,PT
2019,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,28.3,PT
2020,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.9,PT
2021,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.8,PT
2022,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.79,PT
2023,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,27.51,PT
2024,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,100,26.42,PT
2000,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,25.73,PT
2001,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,21.47,PT
2002,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,18.78,PT
2003,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,18.89,PT
2004,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,19.31,PT
2005,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,18.44,PT
2006,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,16.99,PT
2007,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,15.73,PT
2008,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,15.84,PT
2009,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,17.5,PT
2010,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,19.16,PT
2011,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,21.29,PT
2012,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,21.86,PT
2013,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,23.13,PT
2014,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,23.34,PT
2015,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,22.34,PT
2016,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,21.66,PT
2017,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,21.64,PT
2018,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,22.06,PT
2019,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,24.44,PT
2020,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,24.91,PT
2021,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,25.78,PT
2022,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,25.37,PT
2023,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,25.32,PT
2024,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,100,25.39,PT
2000,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.42,PT
2001,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,26.48,PT
2002,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.97,PT
2003,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.26,PT
2004,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.75,PT
2005,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.18,PT
2006,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.99,PT
2007,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.5,PT
2008,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,26.06,PT
2009,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,26.31,PT
2010,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.0,PT
2011,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.66,PT
2012,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.88,PT
2013,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.69,PT
2014,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.67,PT
2015,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.77,PT
2016,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.81,PT
2017,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.82,PT
2018,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,27.94,PT
2019,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,28.25,PT
2020,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,26.39,PT
2021,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,25.44,PT
2022,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,22.32,PT
2023,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,21.76,PT
2024,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,100,23.53,PT
2000,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,20.36,PT
2001,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,21.13,PT
2002,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,20.69,PT
2003,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,21.82,PT
2004,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.87,PT
2005,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,24.12,PT
2006,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,24.51,PT
2007,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,23.45,PT
2008,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,21.97,PT
2009,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,21.41,PT
2010,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,24.82,PT
2011,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,25.03,PT
2012,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,25.3,PT
2013,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,24.76,PT
2014,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.67,PT
2015,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.04,PT
2016,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.09,PT
2017,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.95,PT
2018,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.56,PT
2019,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.2,PT
2020,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,22.0,PT
2021,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,20.83,PT
2022,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,19.11,PT
2023,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,20.54,PT
2024,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,100,21.93,PT
2000,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,28.75,PT
2001,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,28.79,PT
2002,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,28.08,PT
2003,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,26.09,PT
2004,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,24.58,PT
2005,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,23.69,PT
2006,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,23.14,PT
2007,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,21.9,PT
2008,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,20.59,PT
2009,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,18.48,PT
2010,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,20.96,PT
2011,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,21.15,PT
2012,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,21.41,PT
2013,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,21.72,PT
2014,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,21.28,PT
2015,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,21.61,PT
2016,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,20.67,PT
2017,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,19.17,PT
2018,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,18.92,PT
2019,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,32.64,PT
2020,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,30.97,PT
2021,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,31.91,PT
2022,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,32.87,PT
2023,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,33.58,PT
2024,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,100,33.75,PT
2000,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,17.62,PT
2001,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,16.58,PT
2002,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,12.77,PT
2003,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,13.51,PT
2004,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,14.08,PT
2005,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,15.1,PT
2006,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,15.92,PT
2007,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,17.45,PT
2008,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,17.56,PT
2009,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,16.66,PT
2010,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,17.38,PT
2011,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,19.19,PT
2012,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,19.13,PT
2013,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,20.79,PT
2014,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,21.46,PT
2015,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,22.43,PT
2016,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,22.72,PT
2017,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,20.88,PT
2018,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,21.64,PT
2019,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,22.19,PT
2020,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,23.77,PT
2021,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,24.17,PT
2022,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,24.73,PT
2023,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,26.56,PT
2024,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,100,25.68,PT
2000,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,30.87,PT
2001,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.86,PT
2002,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.75,PT
2003,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,28.21,PT
2004,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,29.31,PT
2005,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,29.2,PT
2006,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,29.24,PT
2007,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,29.11,PT
2008,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,29.55,PT
2009,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.67,PT
2010,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.51,PT
2011,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.64,PT
2012,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.74,PT
2013,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,27.03,PT
2014,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,26.13,PT
2015,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,26.2,PT
2016,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,25.54,PT
2017,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,25.69,PT
2018,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,25.92,PT
2019,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,24.69,PT
2020,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,23.85,PT
2021,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,23.37,PT
2022,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,24.06,PT
2023,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,23.06,PT
2024,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,100,22.88,PT
2000,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.75,PT
2001,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,27.88,PT
2002,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,27.4,PT
2003,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.86,PT
2004,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.9,PT
2005,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.94,PT
2006,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.16,PT
2007,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.78,PT
2008,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.97,PT
2009,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.73,PT
2010,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.8,PT
2011,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,27.02,PT
2012,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.9,PT
2013,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.99,PT
2014,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.54,PT
2015,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.44,PT
2016,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.84,PT
2017,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.51,PT
2018,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.43,PT
2019,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.25,PT
2020,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.46,PT
2021,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.69,PT
2022,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.06,PT
2023,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,26.13,PT
2024,NOR,Norvège,"Couple, 2 children",net_average_tax_rate,100,100,25.71,PT
2000,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,25.92,PT
2001,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,25.75,PT
2002,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,27.59,PT
2003,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,27.84,PT
2004,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,28.08,PT
2005,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,28.38,PT
2006,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,28.71,PT
2007,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,24.24,PT
2008,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,21.56,PT
2009,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,21.2,PT
2010,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,21.44,PT
2011,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,21.74,PT
2012,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,21.92,PT
2013,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,22.09,PT
2014,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,22.38,PT
2015,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,22.53,PT
2016,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,17.95,PT
2017,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,17.05,PT
2018,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,17.17,PT
2019,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,14.9,PT
2020,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,13.15,PT
2021,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,13.22,PT
2022,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,13.23,PT
2023,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,14.97,PT
2024,POL,Pologne,"Couple, 2 children",net_average_tax_rate,100,100,12.65,PT
2000,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,20.62,PT
2001,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.93,PT
2002,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.62,PT
2003,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.88,PT
2004,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,19.17,PT
2005,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.55,PT
2006,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.57,PT
2007,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.66,PT
2008,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.49,PT
2009,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.02,PT
2010,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,18.5,PT
2011,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,21.26,PT
2012,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,20.43,PT
2013,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,23.15,PT
2014,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,23.03,PT
2015,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,21.96,PT
2016,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,22.13,PT
2017,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,22.4,PT
2018,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,21.66,PT
2019,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,22.38,PT
2020,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,22.53,PT
2021,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,23.4,PT
2022,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,23.4,PT
2023,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,23.57,PT
2024,PRT,Portugal,"Couple, 2 children",net_average_tax_rate,100,100,21.65,PT
2000,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,19.03,PT
2001,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,20.01,PT
2002,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,18.93,PT
2003,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,17.58,PT
2004,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,16.51,PT
2005,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,16.55,PT
2006,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,16.94,PT
2007,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,17.37,PT
2008,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,18.21,PT
2009,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,16.3,PT
2010,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,16.63,PT
2011,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,17.94,PT
2012,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,17.89,PT
2013,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,17.8,PT
2014,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,18.1,PT
2015,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,18.37,PT
2016,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,18.7,PT
2017,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,19.11,PT
2018,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,19.65,PT
2019,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,19.92,PT
2020,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,19.34,PT
2021,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,19.19,PT
2022,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,17.32,PT
2023,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,10.51,PT
2024,SVK,République slovaque,"Couple, 2 children",net_average_tax_rate,100,100,11.11,PT
2000,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.35,PT
2001,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.37,PT
2002,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.34,PT
2003,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.45,PT
2004,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.62,PT
2005,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,28.14,PT
2006,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,28.34,PT
2007,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.49,PT
2008,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.52,PT
2009,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.4,PT
2010,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.78,PT
2011,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.94,PT
2012,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,26.81,PT
2013,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,26.85,PT
2014,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.04,PT
2015,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.13,PT
2016,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,26.95,PT
2017,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,27.26,PT
2018,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,28.78,PT
2019,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.13,PT
2020,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.02,PT
2021,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.59,PT
2022,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,28.97,PT
2023,SVN,Slovénie,"Couple, 2 children",net_average_tax_rate,100,100,29.25,PT
