REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
NLD,Pays-Bas,2002,Total,20-64,Employment to population ratio,74.29
NOR,Norvège,2002,Total,20-64,Employment to population ratio,79.64
POL,Pologne,2002,Total,20-64,Employment to population ratio,57.14
PRT,Portugal,2002,Total,20-64,Employment to population ratio,73.57
SVK,République slovaque,2002,Total,20-64,Employment to population ratio,63.65
SVN,Slovénie,2002,Total,20-64,Employment to population ratio,68.98
ESP,Espagne,2002,Total,20-64,Employment to population ratio,63.09
SWE,Suède,2002,Total,20-64,Employment to population ratio,78.68
CHE,Suisse,2002,Total,20-64,Employment to population ratio,81.21
GBR,Royaume-Uni,2002,Total,20-64,Employment to population ratio,74.32
BGR,Bulgarie,2002,Total,20-64,Employment to population ratio,55.77
HRV,Croatie,2002,Total,20-64,Employment to population ratio,58.4
ROU,Roumanie,2002,Total,20-64,Employment to population ratio,63.34
AUT,Autriche,2003,Total,20-64,Employment to population ratio,71.98
BEL,Belgique,2003,Total,20-64,Employment to population ratio,64.71
DNK,Danemark,2003,Total,20-64,Employment to population ratio,77.39
EST,Estonie,2003,Total,20-64,Employment to population ratio,69.26
FIN,Finlande,2003,Total,20-64,Employment to population ratio,72.39
FRA,France,2003,Total,20-64,Employment to population ratio,69.24
DEU,Allemagne,2003,Total,20-64,Employment to population ratio,68.23
GRC,Grèce,2003,Total,20-64,Employment to population ratio,63.57
HUN,Hongrie,2003,Total,20-64,Employment to population ratio,62.35
ISL,Islande,2003,Total,20-64,Employment to population ratio,84.34
IRL,Irlande,2003,Total,20-64,Employment to population ratio,72.02
ITA,Italie,2003,Total,20-64,Employment to population ratio,60.1
LVA,Lettonie,2003,Total,20-64,Employment to population ratio,67.77
LTU,Lituanie,2003,Total,20-64,Employment to population ratio,68.86
LUX,Luxembourg,2003,Total,20-64,Employment to population ratio,67.19
NLD,Pays-Bas,2003,Total,20-64,Employment to population ratio,72.68
NOR,Norvège,2003,Total,20-64,Employment to population ratio,78.43
POL,Pologne,2003,Total,20-64,Employment to population ratio,56.86
PRT,Portugal,2003,Total,20-64,Employment to population ratio,72.82
SVK,République slovaque,2003,Total,20-64,Employment to population ratio,64.82
SVN,Slovénie,2003,Total,20-64,Employment to population ratio,68.1
ESP,Espagne,2003,Total,20-64,Employment to population ratio,64.33
SWE,Suède,2003,Total,20-64,Employment to population ratio,78.1
CHE,Suisse,2003,Total,20-64,Employment to population ratio,80.22
GBR,Royaume-Uni,2003,Total,20-64,Employment to population ratio,74.73
BGR,Bulgarie,2003,Total,20-64,Employment to population ratio,58.04
HRV,Croatie,2003,Total,20-64,Employment to population ratio,58.32
ROU,Roumanie,2003,Total,20-64,Employment to population ratio,63.69
AUT,Autriche,2004,Total,20-64,Employment to population ratio,69.55
BEL,Belgique,2004,Total,20-64,Employment to population ratio,65.6
DNK,Danemark,2004,Total,20-64,Employment to population ratio,77.68
EST,Estonie,2004,Total,20-64,Employment to population ratio,69.71
FIN,Finlande,2004,Total,20-64,Employment to population ratio,72.23
FRA,France,2004,Total,20-64,Employment to population ratio,69.07
DEU,Allemagne,2004,Total,20-64,Employment to population ratio,68.76
GRC,Grèce,2004,Total,20-64,Employment to population ratio,63.94
HUN,Hongrie,2004,Total,20-64,Employment to population ratio,62.08
ISL,Islande,2004,Total,20-64,Employment to population ratio,83.54
IRL,Irlande,2004,Total,20-64,Employment to population ratio,72.77
ITA,Italie,2004,Total,20-64,Employment to population ratio,61.43
LVA,Lettonie,2004,Total,20-64,Employment to population ratio,67.94
LTU,Lituanie,2004,Total,20-64,Employment to population ratio,69.33
LUX,Luxembourg,2004,Total,20-64,Employment to population ratio,67.69
NLD,Pays-Bas,2004,Total,20-64,Employment to population ratio,72.5
NOR,Norvège,2004,Total,20-64,Employment to population ratio,78.18
POL,Pologne,2004,Total,20-64,Employment to population ratio,57.08
PRT,Portugal,2004,Total,20-64,Employment to population ratio,72.42
SVK,République slovaque,2004,Total,20-64,Employment to population ratio,63.74
SVN,Slovénie,2004,Total,20-64,Employment to population ratio,70.42
