REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
LTU,Lituanie,2023,Total,20-64,Employment to population ratio,78.48
LUX,Luxembourg,2023,Total,20-64,Employment to population ratio,74.85
NLD,Pays-Bas,2023,Total,20-64,Employment to population ratio,83.55
NOR,Norvège,2023,Total,20-64,Employment to population ratio,80.37
SVK,République slovaque,2023,Total,20-64,Employment to population ratio,77.49
ESP,Espagne,2023,Total,20-64,Employment to population ratio,70.55
SWE,Suède,2023,Total,20-64,Employment to population ratio,82.63
GBR,Royaume-Uni,2023,Total,20-64,Employment to population ratio,78.78
BGR,Bulgarie,2023,Total,20-64,Employment to population ratio,76.24
ROU,Roumanie,2023,Total,20-64,Employment to population ratio,68.74
DEU,Allemagne,2023,Total,20-64,Employment to population ratio,81.09
HUN,Hongrie,2023,Total,20-64,Employment to population ratio,80.71
IRL,Irlande,2023,Total,20-64,Employment to population ratio,79.92
POL,Pologne,2023,Total,20-64,Employment to population ratio,77.88
PRT,Portugal,2023,Total,20-64,Employment to population ratio,78.04
SVN,Slovénie,2023,Total,20-64,Employment to population ratio,77.46
HRV,Croatie,2023,Total,20-64,Employment to population ratio,70.78
AUT,Autriche,2024,Total,20-64,Employment to population ratio,77.38
BEL,Belgique,2024,Total,20-64,Employment to population ratio,72.32
DNK,Danemark,2024,Total,20-64,Employment to population ratio,80.26
EST,Estonie,2024,Total,20-64,Employment to population ratio,81.76
FIN,Finlande,2024,Total,20-64,Employment to population ratio,77.06
FRA,France,2024,Total,20-64,Employment to population ratio,75.1
DEU,Allemagne,2024,Total,20-64,Employment to population ratio,81.3
GRC,Grèce,2024,Total,20-64,Employment to population ratio,69.31
HUN,Hongrie,2024,Total,20-64,Employment to population ratio,81.08
ISL,Islande,2024,Total,20-64,Employment to population ratio,86.96
IRL,Irlande,2024,Total,20-64,Employment to population ratio,80.62
ITA,Italie,2024,Total,20-64,Employment to population ratio,67.07
LVA,Lettonie,2024,Total,20-64,Employment to population ratio,77.4
LTU,Lituanie,2024,Total,20-64,Employment to population ratio,79.2
LUX,Luxembourg,2024,Total,20-64,Employment to population ratio,74.17
NLD,Pays-Bas,2024,Total,20-64,Employment to population ratio,83.49
NOR,Norvège,2024,Total,20-64,Employment to population ratio,80.01
POL,Pologne,2024,Total,20-64,Employment to population ratio,78.35
PRT,Portugal,2024,Total,20-64,Employment to population ratio,78.46
SVK,République slovaque,2024,Total,20-64,Employment to population ratio,78.11
SVN,Slovénie,2024,Total,20-64,Employment to population ratio,78.26
ESP,Espagne,2024,Total,20-64,Employment to population ratio,71.37
SWE,Suède,2024,Total,20-64,Employment to population ratio,81.94
CHE,Suisse,2024,Total,20-64,Employment to population ratio,82.98
GBR,Royaume-Uni,2024,Total,20-64,Employment to population ratio,78.66
BGR,Bulgarie,2024,Total,20-64,Employment to population ratio,76.76
HRV,Croatie,2024,Total,20-64,Employment to population ratio,73.58
ROU,Roumanie,2024,Total,20-64,Employment to population ratio,69.46
