Year,REF_AREA,Country,Age,Sex,Unit_measure,Unit_mult,Value_population
1993,DNK,Danemark,0-19,Total,PT_POP,0,17.04
1993,ESP,Espagne,0-19,Total,PS,0,10466140.0
1993,ESP,Espagne,0-19,Total,PT_POP,0,18.12
1993,EST,Estonie,0-19,Total,PS,0,431471.0
1993,EST,Estonie,0-19,Total,PT_POP,0,21.62
1993,FIN,Finlande,0-19,Total,PS,0,1285355.0
1993,FIN,Finlande,0-19,Total,PT_POP,0,19.15
1993,FRA,France,0-19,Total,PS,0,15330473.0
1993,FRA,France,0-19,Total,PT_POP,0,19.91
1993,GBR,Royaume-Uni,0-19,Total,PS,0,14649100.0
1993,GBR,Royaume-Uni,0-19,Total,PT_POP,0,19.48
1993,GRC,Grèce,0-19,Total,PS,0,2663529.0
1993,GRC,Grèce,0-19,Total,PT_POP,0,18.02
1993,HUN,Hongrie,0-19,Total,PS,0,2837352.0
1993,HUN,Hongrie,0-19,Total,PT_POP,0,19.03
1993,IRL,Irlande,0-19,Total,PS,0,1251637.0
1993,IRL,Irlande,0-19,Total,PT_POP,0,25.79
1993,ISL,Islande,0-19,Total,PS,0,86111.0
1993,ISL,Islande,0-19,Total,PT_POP,0,24.86
1993,ITA,Italie,0-19,Total,PS,0,12666825.0
1993,ITA,Italie,0-19,Total,PT_POP,0,15.18
1993,LTU,Lituanie,0-19,Total,PS,0,1086889.0
1993,LTU,Lituanie,0-19,Total,PT_POP,0,22.37
1993,LUX,Luxembourg,0-19,Total,PS,0,92096.0
1993,LUX,Luxembourg,0-19,Total,PT_POP,0,17.9
1993,LVA,Lettonie,0-19,Total,PS,0,720629.0
1993,LVA,Lettonie,0-19,Total,PT_POP,0,21.37
1993,NLD,Pays-Bas,0-19,Total,PS,0,3746470.0
1993,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.32
1993,NOR,Norvège,0-19,Total,PS,0,1112496.0
1993,NOR,Norvège,0-19,Total,PT_POP,0,19.18
1993,POL,Pologne,0-19,Total,PS,0,12344772.0
1993,POL,Pologne,0-19,Total,PT_POP,0,24.15
1993,PRT,Portugal,0-19,Total,PS,0,2712148.0
1993,PRT,Portugal,0-19,Total,PT_POP,0,18.82
1993,ROU,Roumanie,0-19,Total,PS,0,6991300.0
1993,ROU,Roumanie,0-19,Total,PT_POP,0,22.08
1993,SVK,République slovaque,0-19,Total,PS,0,1744992.0
1993,SVK,République slovaque,0-19,Total,PT_POP,0,24.07
1993,SVN,Slovénie,0-19,Total,PS,0,539061.0
1993,SVN,Slovénie,0-19,Total,PT_POP,0,19.57
1993,SWE,Suède,0-19,Total,PS,0,2142031.0
1993,SWE,Suède,0-19,Total,PT_POP,0,18.48
1994,AUT,Autriche,0-19,Total,PS,0,1880290.0
1994,AUT,Autriche,0-19,Total,PT_POP,0,17.82
1994,BEL,Belgique,0-19,Total,PS,0,2442623.0
