,Year,REF_AREA,Country,Age,FERT_RATIO
667,2019,SVK,Slovak Republic,Total,1.57
668,2019,LVA,Latvia,Total,1.61
669,2019,IRL,Ireland,Total,1.71
670,2019,NLD,Netherlands,Total,1.57
671,2019,ESP,Spain,Total,1.23
672,2019,HRV,Croatia,Total,1.47
673,2019,LUX,Luxembourg,Total,1.34
674,2019,FIN,Finland,Total,1.35
675,2019,DNK,Denmark,Total,1.7
676,2019,ROU,Romania,Total,1.77
677,2019,SVN,Slovenia,Total,1.61
678,2019,FRA,France,Total,1.86
679,2021,DEU,Germany,Total,1.58
680,2018,ITA,Italy,Total,1.3
681,2020,ROU,Romania,Total,1.79
682,2020,POL,Poland,Total,1.4
683,2021,POL,Poland,Total,1.34
684,2021,ROU,Romania,Total,1.8
685,2023,POL,Poland,Total,1.2
686,2023,DEU,Germany,Total,1.39
687,2023,ROU,Romania,Total,1.54
688,2023,FRA,France,Total,1.66
689,2022,POL,Poland,Total,1.29
690,2022,FRA,France,Total,1.78
691,2022,ROU,Romania,Total,1.7
692,2022,HUN,Hungary,Total,1.56
693,1990,GBR,United Kingdom,Total,1.48
694,1991,GBR,United Kingdom,Total,1.48
695,1992,GBR,United Kingdom,Total,1.48
696,1993,GBR,United Kingdom,Total,1.48
697,1994,GBR,United Kingdom,Total,1.48
698,1995,GBR,United Kingdom,Total,1.48
699,1996,GBR,United Kingdom,Total,1.48
700,1997,GBR,United Kingdom,Total,1.48
701,1998,GBR,United Kingdom,Total,1.48
702,1999,GBR,United Kingdom,Total,1.48
703,2000,GBR,United Kingdom,Total,1.48
704,2001,GBR,United Kingdom,Total,1.48
705,2002,GBR,United Kingdom,Total,1.48
706,2003,GBR,United Kingdom,Total,1.48
707,2004,GBR,United Kingdom,Total,1.48
708,2005,GBR,United Kingdom,Total,1.48
709,2006,GBR,United Kingdom,Total,1.48
710,2007,GBR,United Kingdom,Total,1.48
711,2008,GBR,United Kingdom,Total,1.48
712,2009,GBR,United Kingdom,Total,1.48
713,2010,GBR,United Kingdom,Total,1.48
714,2011,GBR,United Kingdom,Total,1.48
715,2012,GBR,United Kingdom,Total,1.48
716,2019,GBR,United Kingdom,Total,1.48
717,2020,GBR,United Kingdom,Total,1.48
718,2021,GBR,United Kingdom,Total,1.48
719,2022,GBR,United Kingdom,Total,1.48
720,2023,GBR,United Kingdom,Total,1.48
721,2013,BEL,Belgium,Total,1.76
722,2013,POL,Poland,Total,1.3
723,2013,BGR,Bulgaria,Total,1.55
724,2013,GRC,Greece,Total,1.3
725,2013,SVK,Slovak Republic,Total,1.35
726,2013,LVA,Latvia,Total,1.53
727,2013,IRL,Ireland,Total,1.94
728,2013,EST,Estonia,Total,1.53
729,2013,ESP,Spain,Total,1.28
730,2013,SWE,Sweden,Total,1.88
731,2013,DNK,Denmark,Total,1.66
732,2013,ROU,Romania,Total,1.45
733,2014,DNK,Denmark,Total,1.68
734,2014,LTU,Lithuania,Total,1.57
735,2014,DEU,Germany,Total,1.48
736,2014,EST,Estonia,Total,1.55
737,2014,IRL,Ireland,Total,1.9
738,2014,BGR,Bulgaria,Total,1.62
739,2014,POL,Poland,Total,1.33
740,2014,ITA,Italy,Total,1.38
741,2014,BEL,Belgium,Total,1.74
742,2015,BEL,Belgium,Total,1.7
743,2015,ITA,Italy,Total,1.36
744,2015,POL,Poland,Total,1.33
745,2015,BGR,Bulgaria,Total,1.64
746,2015,ISL,Iceland,Total,1.81
747,2015,SVK,Slovak Republic,Total,1.41
748,2015,LVA,Latvia,Total,1.71
749,2015,IRL,Ireland,Total,1.86
750,2015,LTU,Lithuania,Total,1.63
751,2015,NOR,Norway,Total,1.73
752,2015,DNK,Denmark,Total,1.7
753,2015,SVN,Slovenia,Total,1.58
754,2016,SVN,Slovenia,Total,1.59
755,2016,ROU,Romania,Total,1.69
756,2016,DNK,Denmark,Total,1.78
757,2016,SWE,Sweden,Total,1.86
758,2016,LUX,Luxembourg,Total,1.42
759,2016,LTU,Lithuania,Total,1.63
760,2016,HRV,Croatia,Total,1.43
761,2016,ESP,Spain,Total,1.33
762,2016,EST,Estonia,Total,1.61
763,2016,IRL,Ireland,Total,1.82
764,2016,SVK,Slovak Republic,Total,1.49
765,2016,CHE,Switzerland,Total,1.55
766,2016,ISL,Iceland,Total,1.75
767,2016,BGR,Bulgaria,Total,1.67
768,2016,ITA,Italy,Total,1.35
769,2016,BEL,Belgium,Total,1.69
770,2017,BEL,Belgium,Total,1.65
771,2017,ITA,Italy,Total,1.33
772,2017,POL,Poland,Total,1.49
773,2017,BGR,Bulgaria,Total,1.71
774,2017,CHE,Switzerland,Total,1.53
775,2017,SVK,Slovak Republic,Total,1.53
776,2017,LVA,Latvia,Total,1.7
777,2017,EST,Estonia,Total,1.6
778,2017,DEU,Germany,Total,1.58
779,2017,ESP,Spain,Total,1.3
780,2017,LTU,Lithuania,Total,1.57
781,2017,LUX,Luxembourg,Total,1.4
782,2017,SWE,Sweden,Total,1.79
783,2017,NOR,Norway,Total,1.63
784,2018,SVN,Slovenia,Total,1.61
785,2018,NOR,Norway,Total,1.57
786,2018,LUX,Luxembourg,Total,1.39
787,2018,LTU,Lithuania,Total,1.53
788,2018,ESP,Spain,Total,1.25
789,2018,EST,Estonia,Total,1.68
790,2018,IRL,Ireland,Total,1.76
791,2018,LVA,Latvia,Total,1.61
792,2018,SVK,Slovak Republic,Total,1.55
793,2018,HUN,Hungary,Total,1.54
794,2018,AUT,Austria,Total,1.48
795,2018,BGR,Bulgaria,Total,1.73
796,2018,BEL,Belgium,Total,1.62
797,2019,BEL,Belgium,Total,1.61
798,2019,ITA,Italy,Total,1.26
799,2019,BGR,Bulgaria,Total,1.79
800,2019,AUT,Austria,Total,1.47
801,2019,ISL,Iceland,Total,1.75
802,2019,GRC,Greece,Total,1.33
803,2019,CHE,Switzerland,Total,1.49
804,2019,EST,Estonia,Total,1.67
805,2019,DEU,Germany,Total,1.55
806,2019,LTU,Lithuania,Total,1.44
807,2019,SWE,Sweden,Total,1.72
808,2019,NOR,Norway,Total,1.54
809,2020,FRA,France,Total,1.82
810,2020,SVN,Slovenia,Total,1.59
811,2020,DNK,Denmark,Total,1.68
812,2020,FIN,Finland,Total,1.37
813,2020,NOR,Norway,Total,1.48
814,2020,SWE,Sweden,Total,1.68
815,2020,LUX,Luxembourg,Total,1.37
816,2020,LTU,Lithuania,Total,1.36
817,2020,HRV,Croatia,Total,1.56
818,2020,ESP,Spain,Total,1.18
819,2020,NLD,Netherlands,Total,1.55
820,2020,DEU,Germany,Total,1.54
821,2020,EST,Estonia,Total,1.59
822,2020,IRL,Ireland,Total,1.63
823,2020,LVA,Latvia,Total,1.55
824,2020,SVK,Slovak Republic,Total,1.59
825,2020,CHE,Switzerland,Total,1.47
826,2020,GRC,Greece,Total,1.38
827,2020,ISL,Iceland,Total,1.73
828,2020,HUN,Hungary,Total,1.58
829,2020,AUT,Austria,Total,1.44
830,2020,BGR,Bulgaria,Total,1.77
831,2020,PRT,Portugal,Total,1.41
832,2020,ITA,Italy,Total,1.24
833,2020,BEL,Belgium,Total,1.56
834,2021,BEL,Belgium,Total,1.6
835,2021,ITA,Italy,Total,1.25
836,2021,PRT,Portugal,Total,1.35
837,2021,BGR,Bulgaria,Total,1.79
838,2021,AUT,Austria,Total,1.48
839,2021,HUN,Hungary,Total,1.6
840,2021,ISL,Iceland,Total,1.83
841,2021,GRC,Greece,Total,1.43
842,2021,CHE,Switzerland,Total,1.53
843,2021,SVK,Slovak Republic,Total,1.63
844,2021,LVA,Latvia,Total,1.57
845,2021,IRL,Ireland,Total,1.78
846,2021,EST,Estonia,Total,1.61
847,2021,NLD,Netherlands,Total,1.63
848,2021,ESP,Spain,Total,1.18
849,2021,HRV,Croatia,Total,1.62
850,2021,LTU,Lithuania,Total,1.37
851,2021,LUX,Luxembourg,Total,1.39
852,2021,SWE,Sweden,Total,1.69
853,2021,NOR,Norway,Total,1.56
854,2021,FIN,Finland,Total,1.46
855,2021,DNK,Denmark,Total,1.73
856,2021,SVN,Slovenia,Total,1.64
857,2021,FRA,France,Total,1.82
858,2022,SVN,Slovenia,Total,1.54
859,2022,DNK,Denmark,Total,1.56
860,2022,FIN,Finland,Total,1.32
861,2022,NOR,Norway,Total,1.42
862,2022,SWE,Sweden,Total,1.54
863,2022,LUX,Luxembourg,Total,1.32
864,2022,LTU,Lithuania,Total,1.28
865,2022,HRV,Croatia,Total,1.53
866,2022,ESP,Spain,Total,1.15
867,2022,NLD,Netherlands,Total,1.49
868,2022,DEU,Germany,Total,1.46
869,2022,EST,Estonia,Total,1.41
870,2022,IRL,Ireland,Total,1.54
871,2022,LVA,Latvia,Total,1.47
872,2022,SVK,Slovak Republic,Total,1.57
873,2022,CHE,Switzerland,Total,1.4
874,2022,GRC,Greece,Total,1.31
875,2022,ISL,Iceland,Total,1.6
876,2022,AUT,Austria,Total,1.42
877,2022,BGR,Bulgaria,Total,1.77
878,2022,PRT,Portugal,Total,1.42
879,2022,ITA,Italy,Total,1.24
880,2022,BEL,Belgium,Total,1.53
881,2023,BEL,Belgium,Total,1.48
882,2023,ITA,Italy,Total,1.2
883,2023,PRT,Portugal,Total,1.44
884,2023,BGR,Bulgaria,Total,1.81
885,2023,AUT,Austria,Total,1.32
886,2023,HUN,Hungary,Total,1.55
887,2023,ISL,Iceland,Total,1.56
888,2023,GRC,Greece,Total,1.25
889,2023,CHE,Switzerland,Total,1.34
890,2023,SVK,Slovak Republic,Total,1.49
891,2023,LVA,Latvia,Total,1.36
892,2023,IRL,Ireland,Total,1.5
893,2023,EST,Estonia,Total,1.31
894,2023,NLD,Netherlands,Total,1.43
895,2023,ESP,Spain,Total,1.11
896,2023,HRV,Croatia,Total,1.46
897,2023,LTU,Lithuania,Total,1.19
898,2023,LUX,Luxembourg,Total,1.26
899,2023,SWE,Sweden,Total,1.46
900,2023,NOR,Norway,Total,1.41
901,2023,FIN,Finland,Total,1.26
902,2023,SVN,Slovenia,Total,1.51
903,2013,NLD,Netherlands,Total,1.67
904,2014,GBR,United Kingdom,Total,1.82
905,2015,GBR,United Kingdom,Total,1.81
906,2023,DNK,Denmark,Total,1.5
907,2006,DNK,Denmark,Total,1.85
908,2007,DNK,Denmark,Total,1.84
909,2008,DNK,Denmark,Total,1.89
910,2009,DNK,Denmark,Total,1.84
911,2010,DNK,Denmark,Total,1.87
912,2011,DNK,Denmark,Total,1.75
913,2012,DNK,Denmark,Total,1.73
914,2013,ITA,Italy,Total,1.39
915,2013,LTU,Lithuania,Total,1.59
916,2015,PRT,Portugal,Total,1.31
917,2015,ESP,Spain,Total,1.33
918,2017,PRT,Portugal,Total,1.38
919,2018,PRT,Portugal,Total,1.42
920,2019,PRT,Portugal,Total,1.43
