Year,REF_AREA,Country,Measure,Unit_measure,Value
2005,CHE,Suisse,household_debt,PT,186.85
2005,GBR,Royaume-Uni,household_debt,PT,160.13
2006,AUT,Autriche,household_debt,PT,89.6
2006,BEL,Belgique,household_debt,PT,84.01
2006,DNK,Danemark,household_debt,PT,269.39
2006,EST,Estonie,household_debt,PT,89.13
2006,FIN,Finlande,household_debt,PT,107.04
2006,FRA,France,household_debt,PT,96.9
2006,DEU,Allemagne,household_debt,PT,104.68
2006,GRC,Grèce,household_debt,PT,77.88
2006,HUN,Hongrie,household_debt,PT,55.58
2006,IRL,Irlande,household_debt,PT,221.45
2006,ITA,Italie,household_debt,PT,74.09
2006,LVA,Lettonie,household_debt,PT,70.45
2006,LTU,Lituanie,household_debt,PT,41.99
2006,LUX,Luxembourg,household_debt,PT,121.15
2006,NLD,Pays-Bas,household_debt,PT,258.15
2006,NOR,Norvège,household_debt,PT,195.15
2006,POL,Pologne,household_debt,PT,29.98
2006,PRT,Portugal,household_debt,PT,137.78
2006,SVK,République slovaque,household_debt,PT,36.97
2006,SVN,Slovénie,household_debt,PT,46.6
2006,ESP,Espagne,household_debt,PT,140.48
2006,SWE,Suède,household_debt,PT,152.83
2006,CHE,Suisse,household_debt,PT,185.59
2006,GBR,Royaume-Uni,household_debt,PT,171.45
2007,AUT,Autriche,household_debt,PT,89.17
2007,BEL,Belgique,household_debt,PT,87.72
2007,DNK,Danemark,household_debt,PT,295.04
2007,EST,Estonie,household_debt,PT,102.48
2007,FIN,Finlande,household_debt,PT,111.93
2007,FRA,France,household_debt,PT,101.91
2007,DEU,Allemagne,household_debt,PT,101.54
2007,GRC,Grèce,household_debt,PT,86.48
2007,HUN,Hongrie,household_debt,PT,64.06
2007,IRL,Irlande,household_debt,PT,231.95
2007,ITA,Italie,household_debt,PT,78.33
2007,LVA,Lettonie,household_debt,PT,80.86
2007,LTU,Lituanie,household_debt,PT,56.45
2007,LUX,Luxembourg,household_debt,PT,141.26
2007,NLD,Pays-Bas,household_debt,PT,264.69
2007,NOR,Norvège,household_debt,PT,203.51
2007,POL,Pologne,household_debt,PT,37.99
2007,PRT,Portugal,household_debt,PT,143.03
2007,SVK,République slovaque,household_debt,PT,40.87
2007,SVN,Slovénie,household_debt,PT,54.18
2007,ESP,Espagne,household_debt,PT,147.31
2007,SWE,Suède,household_debt,PT,156.02
2007,CHE,Suisse,household_debt,PT,180.13
2007,GBR,Royaume-Uni,household_debt,PT,173.41
2008,AUT,Autriche,household_debt,PT,90.54
2008,BEL,Belgique,household_debt,PT,90.04
2008,DNK,Danemark,household_debt,PT,313.98
2008,EST,Estonie,household_debt,PT,97.77
2008,FIN,Finlande,household_debt,PT,114.52
2008,FRA,France,household_debt,PT,103.43
2008,DEU,Allemagne,household_debt,PT,98.54
2008,GRC,Grèce,household_debt,PT,88.66
2008,HUN,Hongrie,household_debt,PT,77.41
2008,IRL,Irlande,household_debt,PT,227.32
2008,ITA,Italie,household_debt,PT,80.0
2008,LVA,Lettonie,household_debt,PT,73.35
2008,LTU,Lituanie,household_debt,PT,56.38
2008,LUX,Luxembourg,household_debt,PT,144.25
2008,NLD,Pays-Bas,household_debt,PT,273.33
2008,NOR,Norvège,household_debt,PT,203.57
2008,POL,Pologne,household_debt,PT,49.85
2008,PRT,Portugal,household_debt,PT,142.23
2008,SVK,République slovaque,household_debt,PT,49.89
2008,SVN,Slovénie,household_debt,PT,55.84
2008,ESP,Espagne,household_debt,PT,144.67
