Year,REF_AREA,Country,Expenditure_name,value_raw,Unit_mult,Currency,Expenditure_Share %
2015,FRA,France,Food,155203.0,6,EUR,13.38
2015,FRA,France,Household_Goods,57072.0,6,EUR,4.92
2015,FRA,France,Health,48779.0,6,EUR,4.21
2015,FRA,France,Communication,29764.0,6,EUR,2.57
2016,FRA,France,Housing_Utilities,311300.0,6,EUR,26.43
2016,FRA,France,Other_Services,145980.0,6,EUR,12.39
2016,FRA,France,Education,5423.0,6,EUR,0.46
2016,FRA,France,Clothing_Footwear,45294.0,6,EUR,3.85
2016,FRA,France,Alcohol_Tobacco,44413.0,6,EUR,3.77
2016,FRA,France,Restaurants_Hotels,82004.0,6,EUR,6.96
2016,FRA,France,Transport,154695.0,6,EUR,13.13
2016,FRA,France,Recreation_Culture,94112.0,6,EUR,7.99
2016,FRA,France,Food,158121.0,6,EUR,13.42
2016,FRA,France,Health,49338.0,6,EUR,4.19
2016,FRA,France,Household_Goods,58101.0,6,EUR,4.93
2016,FRA,France,Communication,29472.0,6,EUR,2.5
2017,FRA,France,Housing_Utilities,316382.0,6,EUR,26.23
2017,FRA,France,Other_Services,149959.0,6,EUR,12.43
2017,FRA,France,Education,5914.0,6,EUR,0.49
2017,FRA,France,Clothing_Footwear,45926.0,6,EUR,3.81
2017,FRA,France,Alcohol_Tobacco,45023.0,6,EUR,3.73
2017,FRA,France,Restaurants_Hotels,86783.0,6,EUR,7.19
2017,FRA,France,Transport,164597.0,6,EUR,13.65
2017,FRA,France,Recreation_Culture,96154.0,6,EUR,7.97
2017,FRA,France,Food,160284.0,6,EUR,13.29
2017,FRA,France,Communication,29109.0,6,EUR,2.41
2017,FRA,France,Health,49632.0,6,EUR,4.11
2017,FRA,France,Household_Goods,59218.0,6,EUR,4.91
2018,FRA,France,Education,5929.0,6,EUR,0.48
2018,FRA,France,Clothing_Footwear,44912.0,6,EUR,3.61
2018,FRA,France,Alcohol_Tobacco,46865.0,6,EUR,3.77
2018,FRA,France,Housing_Utilities,324834.0,6,EUR,26.13
2018,FRA,France,Other_Services,155967.0,6,EUR,12.55
2018,FRA,France,Transport,174561.0,6,EUR,14.04
2018,FRA,France,Restaurants_Hotels,92326.0,6,EUR,7.43
2018,FRA,France,Recreation_Culture,98033.0,6,EUR,7.89
2018,FRA,France,Communication,29576.0,6,EUR,2.38
2018,FRA,France,Household_Goods,57144.0,6,EUR,4.6
2018,FRA,France,Health,50137.0,6,EUR,4.03
2018,FRA,France,Food,162785.0,6,EUR,13.1
2019,FRA,France,Housing_Utilities,333678.0,6,EUR,26.25
2019,FRA,France,Other_Services,156397.0,6,EUR,12.3
2019,FRA,France,Education,6184.0,6,EUR,0.49
2019,FRA,France,Clothing_Footwear,44950.0,6,EUR,3.54
2019,FRA,France,Alcohol_Tobacco,48055.0,6,EUR,3.78
2019,FRA,France,Transport,178590.0,6,EUR,14.05
2019,FRA,France,Restaurants_Hotels,97725.0,6,EUR,7.69
2019,FRA,France,Recreation_Culture,100967.0,6,EUR,7.94
2019,FRA,France,Communication,29870.0,6,EUR,2.35
2019,FRA,France,Household_Goods,58301.0,6,EUR,4.59
2019,FRA,France,Health,50585.0,6,EUR,3.98
2019,FRA,France,Food,166478.0,6,EUR,13.1
